Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
123,17,01/03/2018 08:50:39,49807,1,1,48,48,48,48,48,0,48,48,48,0,1927.439918,40.15499829,49807,0,49807,49807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,20.07749915,20.07749915,48,48,48,0,0,0,0,0,0,0,0,0,0,1,72,48,48,0,0,0,0,0,0,1,48,1,48,-1,-1,0,8,0,0,0,0,0,0,0,0,Buffer Overflow
443,6,01/03/2018 02:01:17,115929385,20,18,733,4417,374,0,36.65,93.56690542,1460,0,245.3888889,501.1195864,44.42359459,0.327785746,3133226.622,4616536.969,10000000,0,116000000,6101546.579,4886533.273,10000000,27,111000000,6508650.294,4935423.303,10000000,0,0,0,0,0,412,504,0.172518814,0.155266933,0,1460,132.0512821,357.847288,128054.6815,0,0,1,1,0,0,0,1,0,135.5263158,36.65,245.3888889,0,0,0,0,0,0,20,733,18,4417,8192,980,15,20,44541.5,44581.01758,186105,31563,9616238.333,1375011.74,10000000,5250013,MitM
53,17,01/03/2018 03:37:48,312,1,1,45,61,45,45,45,0,61,61,61,0,339743.5897,6410.25641,312,0,312,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3205.128205,3205.128205,45,61,50.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,75.5,45,61,0,0,0,0,0,0,1,45,1,61,-1,-1,0,8,0,0,0,0,0,0,0,0,Slowloris
50561,6,01/03/2018 09:39:11,0,2,0,0,0,0,0,0,0,0,0,0,0,,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,180,-1,0,20,0,0,0,0,0,0,0,0,Ransomware
80,6,01/03/2018 02:57:44,5873720,3,1,0,0,0,0,0,0,0,0,0,0,0,0.680999435,1957906.667,3357364.733,5834592,43,5873720,2936860,4098011.895,5834592,39128,0,0,0,0,0,0,0,0,0,72,32,0.510749576,0.170249859,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,29200,0,20,0,0,0,0,0,0,0,0,C2
49876,6,01/03/2018 08:40:52,0,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,0,0,0,0,0,0,2,31,0,0,946,-1,0,20,0,0,0,0,0,0,0,0,Application-layer
135,6,01/03/2018 02:42:52,155,2,0,0,0,0,0,0,0,0,0,0,0,0,12903.22581,155,0,155,155,155,155,0,155,155,0,0,0,0,0,0,0,0,0,40,0,12903.22581,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2240,-1,0,20,0,0,0,0,0,0,0,0,MitM
50771,6,01/03/2018 10:26:25,18,1,1,0,0,0,0,0,0,0,0,0,0,0,111111.1111,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,55555.55556,55555.55556,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,172,255,0,20,0,0,0,0,0,0,0,0,C2
3389,6,01/03/2018 04:56:44,15548093,9,12,1789,1581,661,0,198.7777778,270.9436186,1173,0,131.75,338.2699635,216.7468383,1.350647954,777404.65,1693079.936,7417551,2,15500000,1943511.625,2524780.147,7744909,2,15400000,1398815.273,2126247.961,7417551,241261,0,0,0,0,192,264,0.578849123,0.771798831,0,1173,153.1818182,300.2905952,90174.44156,0,0,0,1,0,0,0,0,1,160.4761905,198.7777778,131.75,0,0,0,0,0,0,9,1789,12,1581,8192,62872,6,20,329547,0,329547,329547,7417551,0,7417551,7417551,Slowloris
53,17,01/03/2018 04:26:23,1038,1,1,38,54,38,38,38,0,54,54,54,0,88631.98459,1926.782274,1038,0,1038,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,963.3911368,963.3911368,38,54,43.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,65,38,54,0,0,0,0,0,0,1,38,1,54,-1,-1,0,8,0,0,0,0,0,0,0,0,MitM
3389,6,01/03/2018 11:53:20,2048630,8,7,1144,1581,677,0,143,227.9699228,1173,0,225.8571429,430.0986044,1330.157227,7.321966387,146330.7143,242459.0565,937608,40,2048630,292661.4286,393956.6193,1173742,46,1876118,312686.3333,307153.4761,937608,171133,0,0,0,0,172,152,3.90504874,3.416917647,0,1173,170.3125,319.4027173,102018.0958,0,0,1,1,0,0,0,1,0,181.6666667,143,225.8571429,0,0,0,0,0,0,8,1144,7,1581,8192,62856,5,20,0,0,0,0,0,0,0,0,Evasion
53,17,01/03/2018 11:11:01,355,1,1,58,74,58,58,58,0,74,74,74,0,371830.9859,5633.802817,355,0,355,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2816.901408,2816.901408,58,74,63.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,95,58,74,0,0,0,0,0,0,1,58,1,74,-1,-1,0,8,0,0,0,0,0,0,0,0,TLS Anomalies
0,0,01/03/2018 11:35:52,61997542,3,0,0,0,0,0,0,0,0,0,0,0,0,0.048389015,31000000,42400000,61000000,999978,62000000,31000000,42400000,61000000,999978,0,0,0,0,0,0,0,0,0,0,0,0.048389015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,61000000,0,61000000,61000000,MQTT Exploits
53,17,01/03/2018 11:12:42,442,1,1,32,64,32,32,32,0,64,64,64,0,217194.5701,4524.886878,442,0,442,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2262.443439,2262.443439,32,64,42.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,64,32,64,0,0,0,0,0,0,1,32,1,64,-1,-1,0,8,0,0,0,0,0,0,0,0,Slowloris
65151,6,01/03/2018 01:49:50,30,2,0,0,0,0,0,0,0,0,0,0,0,0,66666.66667,30,0,30,30,30,30,0,30,30,0,0,0,0,0,0,0,0,0,40,0,66666.66667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,64240,-1,0,20,0,0,0,0,0,0,0,0,Application-layer
443,6,01/03/2018 03:02:27,288,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0,0,267361.1111,10416.66667,144,165.4629868,261,27,288,144,165.4629868,261,27,0,0,0,0,0,1,0,0,0,60,0,10416.66667,0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41,25.66666667,0,0,0,0,0,0,0,3,77,0,0,253,-1,1,20,0,0,0,0,0,0,0,0,C2
50435,6,01/03/2018 09:45:19,10,1,1,0,0,0,0,0,0,0,0,0,0,0,200000,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,100000,100000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,913,256,0,20,0,0,0,0,0,0,0,0,MitM
53,17,01/03/2018 03:33:42,36647,1,1,45,61,45,45,45,0,61,61,61,0,2892.460502,54.57472644,36647,0,36647,36647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,27.28736322,27.28736322,45,61,50.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,75.5,45,61,0,0,0,0,0,0,1,45,1,61,-1,-1,0,8,0,0,0,0,0,0,0,0,Tunneling
0,0,01/03/2018 04:46:48,299377,5,0,0,0,0,0,0,0,0,0,0,0,0,16.7013498,74844.25,136948.3567,280164,281,299377,74844.25,136948.3567,280164,281,0,0,0,0,0,0,0,0,0,0,0,16.7013498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Tunneling
0,0,01/03/2018 11:21:52,9277443,6,0,0,0,0,0,0,0,0,0,0,0,0,0.646729923,1855488.6,2432275.209,5755570,244442,9277443,1855488.6,2432275.209,5755570,244442,0,0,0,0,0,0,0,0,0,0,0,0.646729923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,0,0,3277431,0,3277431,3277431,5755570,0,5755570,5755570,Tunneling
443,6,01/03/2018 02:59:38,389950,10,8,507,4795,194,0,50.7,79.76500207,1460,0,599.375,717.1238063,13596.61495,46.15976407,22938.23529,44095.43135,117229,1,389950,43327.77778,54254.15249,117252,13,251964,35994.85714,61198.35479,135633,1,0,0,0,0,212,172,25.64431337,20.5154507,0,1460,279.0526316,531.1046636,282072.1637,0,0,1,1,0,0,0,1,0,294.5555556,50.7,599.375,0,0,0,0,0,0,10,507,8,4795,8192,30,4,20,0,0,0,0,0,0,0,0,Credential Attacks
80,6,01/03/2018 09:45:12,6006790,8,9,1819,7226,922,0,227.375,421.069705,1460,0,802.8888889,691.8156265,1505.795941,2.830130569,375424.375,1255692.076,5032123,12,974667,139238.1429,274488.2142,759489,3724,5964277,745534.625,1765097.813,5055605,293,0,0,0,0,172,192,1.33182615,1.498304419,0,1460,502.5,629.6650136,396478.0294,0,0,1,1,0,0,0,1,1,532.0588235,227.375,802.8888889,0,0,0,0,0,0,8,1819,9,7226,8192,143,2,20,0,0,0,0,0,0,0,0,MitM
443,6,01/03/2018 02:31:13,238,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0,0,323529.4118,12605.04202,119,144.2497834,221,17,238,119,144.2497834,221,17,0,0,0,0,0,1,0,0,0,60,0,12605.04202,0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41,25.66666667,0,0,0,0,0,0,0,3,77,0,0,254,-1,1,20,0,0,0,0,0,0,0,0,Benign
53,17,01/03/2018 11:21:12,875,1,1,43,99,43,43,43,0,99,99,99,0,162285.7143,2285.714286,875,0,875,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1142.857143,1142.857143,43,99,61.66666667,32.33161507,1045.333333,0,0,0,0,0,0,0,0,1,92.5,43,99,0,0,0,0,0,0,1,43,1,99,-1,-1,0,8,0,0,0,0,0,0,0,0,MitM
53,17,01/03/2018 04:15:35,18537,1,1,34,174,34,34,34,0,174,174,174,0,11220.80164,107.8923235,18537,0,18537,18537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,53.94616173,53.94616173,34,174,80.66666667,80.82903769,6533.333333,0,0,0,0,0,0,0,0,1,121,34,174,0,0,0,0,0,0,1,34,1,174,-1,-1,0,8,0,0,0,0,0,0,0,0,Volumetric Flooding
443,6,01/03/2018 03:32:06,5216495,9,7,358,5758,201,0,39.77777778,73.31230759,1460,0,822.5714286,707.9893731,1172.434748,3.067193585,347766.3333,1012771.96,3902244,3,5216495,652061.875,1351637.844,3902244,19,1068100,178016.6667,396828.2926,985347,13,0,0,0,0,192,152,1.725296392,1.341897193,0,1460,359.7647059,591.6490228,350048.5662,0,0,1,1,0,0,0,1,0,382.25,39.77777778,822.5714286,0,0,0,0,0,0,9,358,7,5758,8192,119,3,20,0,0,0,0,0,0,0,0,Volumetric Flooding
3389,6,01/03/2018 04:42:01,1402110,8,7,1148,1581,677,0,143.5,228.1296624,1173,0,225.8571429,430.0986044,1946.352283,10.69816206,100150.7143,251843.479,968809,50,1402110,200301.4286,387712.9779,1077838,50,1339060,223176.6667,365716.2108,968809,63615,0,0,0,0,168,148,5.70568643,4.992475626,0,1173,170.5625,319.4332416,102037.5958,0,0,0,1,0,0,0,0,0,181.9333333,143.5,225.8571429,0,0,0,0,0,0,8,1148,7,1581,8192,62852,5,20,0,0,0,0,0,0,0,0,Evasion
53,17,01/03/2018 02:19:16,130595,2,2,68,252,34,34,34,0,126,126,126,0,2450.323519,30.62904399,43531.66667,53129.25912,102734,1,27860,27860,0,27860,27860,1,1,0,1,1,0,0,0,0,16,16,15.314522,15.314522,34,126,70.8,50.39047529,2539.2,0,0,0,0,0,0,0,0,1,88.5,34,126,0,0,0,0,0,0,2,68,2,252,-1,-1,1,8,0,0,0,0,0,0,0,0,ARP Poisoning
53,17,01/03/2018 03:21:42,1093,1,1,42,102,42,42,42,0,102,102,102,0,131747.484,1829.826167,1093,0,1093,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,914.9130833,914.9130833,42,102,62,34.64101615,1200,0,0,0,0,0,0,0,0,1,93,42,102,0,0,0,0,0,0,1,42,1,102,-1,-1,0,8,0,0,0,0,0,0,0,0,ARP Poisoning
53,17,01/03/2018 01:18:17,240,1,1,31,47,31,31,31,0,47,47,47,0,325000,8333.333333,240,0,240,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4166.666667,4166.666667,31,47,36.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,54.5,31,47,0,0,0,0,0,0,1,31,1,47,-1,-1,0,8,0,0,0,0,0,0,0,0,MQTT Exploits
49802,6,01/03/2018 08:29:23,18,1,1,0,0,0,0,0,0,0,0,0,0,0,111111.1111,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,55555.55556,55555.55556,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,182,257,0,20,0,0,0,0,0,0,0,0,DNS Abuse
3389,6,01/03/2018 02:43:35,7527932,4,2,6,0,6,0,1.5,3,0,0,0,0,0.797031642,0.797031642,1505586.4,3321255.824,7446501,1,7527932,2509310.667,4345744.354,7527344,1,81388,81388,0,81388,81388,0,0,0,0,92,52,0.531354428,0.265677214,0,6,0.857142857,2.267786838,5.142857143,0,0,1,1,0,0,0,1,0,1,1.5,0,0,0,0,0,0,0,4,6,2,0,8192,63994,1,20,0,0,0,0,0,0,0,0,Credential Attacks
443,6,01/03/2018 02:19:20,7061683,8,10,742,5417,414,0,92.75,150.8336359,1460,0,541.7,646.1068109,872.1716905,2.548967435,415393.1176,1696719.103,6999588,0,62095,8870.714286,7680.610213,21147,25,7050461,783384.5556,2331107.228,6999603,0,0,0,0,0,172,212,1.132874415,1.416093019,0,1460,324.1578947,522.9755957,273503.4737,0,0,1,1,0,0,0,1,1,342.1666667,92.75,541.7,0,0,0,0,0,0,8,742,10,5417,8192,62,3,20,62095,0,62095,62095,6999588,0,6999588,6999588,MitM
80,6,01/03/2018 02:14:46,117247883,18,15,879,1412,434,0,48.83333333,140.1256789,706,0,94.13333333,248.4172373,19.53979843,0.281454975,3663996.344,4768833.052,10000000,5,117000000,6896934.294,4529917.384,10000000,263,111000000,7961896.929,4091877.224,10000000,11460,0,0,0,0,372,444,0.153520896,0.12793408,0,706,67.38235294,192.2137407,36946.1221,0,0,1,1,0,0,0,1,0,69.42424242,48.83333333,94.13333333,0,0,0,0,0,0,18,879,15,1412,8192,176,13,20,133830.6364,406617.992,1359830,11150,9999480.727,15435.66267,10000000,9952941,MQTT Exploits
53,17,01/03/2018 04:52:12,903,1,1,35,117,35,35,35,0,117,117,117,0,168327.7962,2214.839424,903,0,903,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1107.419712,1107.419712,35,117,62.33333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,93.5,35,117,0,0,0,0,0,0,1,35,1,117,-1,-1,0,8,0,0,0,0,0,0,0,0,ARP Poisoning
3389,6,01/03/2018 03:26:35,16157682,8,8,1148,1581,677,0,143.5,228.1296624,1173,0,197.625,406.121705,168.8979892,0.990241051,1077178.8,3649014.259,14200000,3,16200000,2308240.286,5384515.964,14500000,3,16100000,2296625.571,5274656.24,14200000,80190,0,0,0,0,168,168,0.495120525,0.495120525,0,1173,160.5294118,312.044091,97371.51471,0,0,0,1,0,0,0,0,1,170.5625,143.5,197.625,0,0,0,0,0,0,8,1148,8,1581,8192,62852,5,20,249455,0,249455,249455,14200000,0,14200000,14200000,Tunneling
53,17,01/03/2018 03:13:20,1176,1,1,34,66,34,34,34,0,66,66,66,0,85034.01361,1700.680272,1176,0,1176,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,850.3401361,850.3401361,34,66,44.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,67,34,66,0,0,0,0,0,0,1,34,1,66,-1,-1,0,8,0,0,0,0,0,0,0,0,MQTT Exploits
80,6,01/03/2018 02:28:21,115301349,18,15,883,1576,436,0,49.05555556,140.7724372,788,0,105.0666667,277.2702309,21.32672359,0.286206539,3603167.156,4816738.298,10100000,16,115000000,6782432.294,4710748.538,10100000,150,111000000,7938618.714,4285010.533,10100000,443,0,0,0,0,372,444,0.156112657,0.130093881,0,788,72.32352941,209.2010372,43765.07398,0,0,1,1,0,0,0,1,0,74.51515152,49.05555556,105.0666667,0,0,0,0,0,0,18,883,15,1576,8192,290,13,20,24716.63636,44066.89772,157579,11265,10100000,32141.61817,10100000,9983724,Tunneling
53,17,01/03/2018 03:45:54,412,1,1,46,174,46,46,46,0,174,174,174,0,533980.5825,4854.368932,412,0,412,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2427.184466,2427.184466,46,174,88.66666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,133,46,174,0,0,0,0,0,0,1,46,1,174,-1,-1,0,8,0,0,0,0,0,0,0,0,Buffer Overflow
52286,6,01/03/2018 03:19:47,0,2,0,0,0,0,0,0,0,0,0,0,0,,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31,-1,0,20,0,0,0,0,0,0,0,0,Buffer Overflow
53,17,01/03/2018 02:24:33,294,1,1,90,106,90,90,90,0,106,106,106,0,666666.6667,6802.721088,294,0,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3401.360544,3401.360544,90,106,95.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,143,90,106,0,0,0,0,0,0,1,90,1,106,-1,-1,0,8,0,0,0,0,0,0,0,0,Reconnaissance
3389,6,01/03/2018 10:00:03,2820142,8,8,1128,1581,661,0,141,222.6233206,1173,0,197.625,406.121705,960.5899277,5.67347318,188009.4667,297574.1007,1152328,44,2820142,402877.4286,484347.0155,1366808,44,2711851,387407.2857,365881.7911,1152328,159551,0,0,0,0,172,172,2.83673659,2.83673659,0,1173,159.3529412,310.3705328,96329.86765,0,0,1,1,0,0,0,1,1,169.3125,141,197.625,0,0,0,0,0,0,8,1128,8,1581,8192,62872,5,20,0,0,0,0,0,0,0,0,Evasion
3389,6,01/03/2018 02:06:47,2742636,9,10,1789,1677,661,0,198.7777778,270.9436186,1173,0,167.7,363.7163272,1263.747723,6.927641874,152368.6667,182009.59,701019,26,2742636,342829.5,295976.1066,757124,89,2565639,285071,172280.7331,701045,172674,0,0,0,0,192,224,3.281514572,3.646127302,0,1173,173.3,308.994822,95477.8,0,0,1,1,0,0,0,1,1,182.4210526,198.7777778,167.7,0,0,0,0,0,0,9,1789,10,1677,8192,62872,6,20,0,0,0,0,0,0,0,0,Reconnaissance
3389,6,01/03/2018 11:14:30,2451657,8,7,1144,1581,677,0,143,227.9699228,1173,0,225.8571429,430.0986044,1111.493166,6.118311004,175118.3571,284596.3984,1114395,2,2451657,350236.7143,521374.2422,1521739,2,2244458,374076.3333,370164.1617,1114395,170459,0,0,0,0,172,152,3.263099202,2.855211802,0,1173,170.3125,319.4027173,102018.0958,0,0,1,1,0,0,0,1,0,181.6666667,143,225.8571429,0,0,0,0,0,0,8,1144,7,1581,8192,62856,5,20,0,0,0,0,0,0,0,0,Reconnaissance
