Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Label.1
10.152.152.11-74.125.136.188-50953-5228-6,10.152.152.11,50953,74.125.136.188,5228,6,24/07/2015 05:06:11 PM,90111728,3,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0665840078,18022345.6,24677537.4966599,45055547,316,90111297,45055648.5,583.3630944789,45056061,45055236,90111412,45055706.0,384.6660889655,45055978,45055434,0,0,0,0,60,60,0.0332920039,0.0332920039,0,0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2373,1315,0,20,0,0,0,0,1437768416254040.0,36787234.269928,1437768461309140.0,1437768371199187.0,Non-Tor,
10.152.152.11-173.194.65.127-34702-19305-6,10.152.152.11,34702,173.194.65.127,19305,6,24/07/2015 04:14:00 PM,119996187,3554,3144,208319,457035,182,0,58.6153629713,52.3423294159,965,0,145.3673664122,191.2311974681,5544.7928524596,55.8184402976,17917.9015977302,18134.4929204487,126759,27,119996187,33773.2020827469,24952.9810631918,129842,56,119881672,38142.4346166083,23896.4873655777,151784,81,0,0,0,0,71080,62880,29.6176077662,26.2008325315,0,965,99.3213912524,143.1404265143,20489.1817026923,0,0,0,4250,6698,0,0,0,0,99.3362197671,58.6153629713,145.3673664122,0,0,0,0,4250,5547,0,31,0,68,2640,5292,2501,20,0,0,0,0,1437765300268560.0,34221010.6356202,1437765360541424.0,1437765240580662.0,Non-Tor,
10.152.152.11-74.125.22.189-48052-443-6,10.152.152.11,48052,74.125.22.189,443,6,24/07/2015 04:59:28 PM,119986494,15,14,6273,2333,1460,0,418.2,556.7972444513,1256,0,166.6428571429,342.2530793575,71.7247392861,0.2416938693,4285231.92857143,9939937.19068646,29254047,17,119986354,8570453.85714286,12876584.0050157,29254151,35,119964478,9228036.76923077,13156449.6551875,29293386,17,1,0,0,0,300,280,0.1250140703,0.116679799,0,1460,328.7333333333,498.6471998167,248649.029885057,0,0,0,13,29,0,0,0,0,340.0689655172,418.2,166.6428571429,0,0,0,0,5,9435,0,216,0,80,2640,2640,7,20,0,0,0,0,1437768029096386.0,54439423.8603082,1437768088564906.0,1437767968578723.0,Non-Tor,
10.152.152.11-173.194.40.238-46219-443-6,10.152.152.11,46219,173.194.40.238,443,6,24/07/2015 04:18:23 PM,104810087,5,6,0,154,0,0,0.0,0.0,85,0,25.6666666667,40.0832467082,1.4693242264,0.1049517305,10481008.7,18782279.8027353,45055562,28,104810003,26202500.75,22571171.7622404,45056025,49898,104809642,20961928.4,22784670.0945626,45056115,112,0,0,0,0,100,120,0.047705332,0.0572463984,0,85,12.8333333333,30.165703986,909.9696969697,1,0,0,2,11,0,0,0,1,14.0,0.0,25.6666666667,0,0,0,0,0,0,0,0,0,14,2257,1229,0,20,0,0,0,0,1437765576436402.0,38733508.0554579,1437765608130691.0,1437765503358508.0,Non-Tor,
173.194.33.97-10.152.152.11-443-56254-6,173.194.33.97,443,10.152.152.11,56254,6,24/07/2015 04:38:07 PM,117714160,264,254,14026,126886,1460,0,53.1287878788,113.2378905337,1460,0,499.5511811024,582.1807131344,1197.0692395885,4.4004901364,227686.963249516,1037924.61070897,9161267,7,117714160,447582.357414449,1423820.23750642,9161494,9,117713368,465270.229249012,1450984.18160863,9161653,26,0,0,0,0,5280,5080,2.2427208417,2.1577692947,0,1460,274.3198458574,473.8941015764,224575.619508856,0,0,0,221,518,0,0,0,0,274.8494208494,53.1287878788,499.5511811024,0,0,0,0,20,4156,0,27,0,244,9520,9520,107,20,0,0,0,0,1437766743422000.0,35828425.3992322,1437766804792223.0,1437766687078895.0,Non-Tor,
10.152.152.11-74.125.136.188-50953-5228-6,10.152.152.11,50953,74.125.136.188,5228,6,24/07/2015 04:52:40 PM,90112370,3,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0665835334,18022474.0,24677695.9701312,45055616,323,90111922,45055961.0,31.1126983722,45055983,45055939,90111842,45055921.0,202.2325394194,45056064,45055778,0,0,0,0,60,60,0.0332917667,0.0332917667,0,0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2373,1315,0,20,0,0,0,0,1437767606013830.0,36787558.8273086,1437767651069265.0,1437767560958517.0,Non-Tor,
10.152.152.11-173.194.113.40-46251-443-6,10.152.152.11,46251,173.194.113.40,443,6,24/07/2015 05:05:44 PM,104811081,4,4,0,154,0,0,0.0,0.0,154,0,38.5,77.0,1.4693102917,0.0763278074,14973011.5714286,21239459.8290793,45055628,440,104811081,34937027.0,17526599.6053974,45056111,14699053,104809721,34936573.6666667,17527454.0837794,45056148,14697613,0,0,0,0,80,80,0.0381639037,0.0381639037,0,154,17.1111111111,51.3333333333,2635.1111111111,1,0,0,1,8,0,0,0,1,19.25,0.0,38.5,0,0,0,0,0,0,0,0,0,19,2075,1229,0,20,0,0,0,0,1437768401708540.0,41582266.3978854,1437768449511279.0,1437768344702561.0,Non-Tor,
10.152.152.11-74.125.228.213-59151-443-6,10.152.152.11,59151,74.125.228.213,443,6,24/07/2015 04:56:35 PM,101504134,9,9,2671,1060,1460,0,296.7777777778,558.9898876048,991,0,117.7777777778,328.2524858161,36.7571236064,0.1773326789,5970831.41176471,14827365.2905594,45151660,14,101503948,12687993.5,20129088.1451876,45152009,103,101503678,12687959.75,20127841.4807824,45151846,14,0,0,0,0,180,180,0.0886663394,0.0886663394,0,1460,196.3684210526,443.8870239807,197035.69005848,0,0,0,5,18,0,0,0,1,207.2777777778,296.7777777778,117.7777777778,0,0,0,0,0,0,0,148,0,58,2640,2142,4,20,0,0,0,0,1437767815633190.0,27492286.5747877,1437767897341240.0,1437767795838200.0,Non-Tor,
10.152.152.11-173.194.65.127-42584-19305-17,10.152.152.11,42584,173.194.65.127,19305,17,24/07/2015 04:10:00 PM,14422004,21,0,2352,0,112,112,112.0,0.0,0,0,0.0,0.0,163.0841317198,1.4561083189,721100.2,387624.542760619,963075,49326,14422004,721100.2,387624.542760619,963075,49326,0,0.0,0.0,0,0,0,0,0,0,168,0,1.4561083189,0.0,112,112,112.0,0.0,0.0,0,0,0,0,0,0,0,0,0,117.3333333333,112.0,0.0,0,0,0,0,21,163,1,112,0,0,0,0,20,8,0,0,0,0,1437765005875696.0,4600610.35900142,1437765013911018.0,1437765000545446.0,Non-Tor,
10.152.152.11-173.194.112.181-47598-443-6,10.152.152.11,47598,173.194.112.181,443,6,24/07/2015 04:28:33 PM,91991189,16,17,3459,5445,1460,0,216.1875,452.5454258967,1460,0,320.2941176471,536.9210561975,96.7918786222,0.3587300084,2874724.65625,11065092.3999544,45095751,17,91990785,6132719.0,15802284.9912079,45096070,101,91990918,5749432.375,15343062.1477558,45096155,102,0,0,0,0,332,352,0.173929701,0.1848003073,0,1460,261.8823529412,487.5573479684,237712.167557932,0,2,0,11,32,0,0,0,1,269.8181818182,216.1875,320.2941176471,0,0,0,0,14,4712,0,104,0,165,14600,1412,8,20,0,0,0,0,1437766120173910.0,19524818.0558509,1437766205309302.0,1437766113318871.0,Non-Tor,
10.152.152.11-173.194.65.127-34702-19305-6,10.152.152.11,34702,173.194.65.127,19305,6,24/07/2015 04:10:00 PM,119962833,3638,3157,254101,488658,190,0,69.8463441451,53.9425837242,1460,0,154.7855559075,214.9351774103,6191.5760192159,56.6425436118,17657.1729467177,18742.9138795748,151388,9,119962833,32984.0068737971,24023.010795762,151768,87,119940995,38004.1175538657,24494.2758290516,161775,61,0,0,0,0,72772,63152,30.3260594054,26.3164842064,0,1460,109.2935550324,157.5135857848,24810.5297068007,0,2,0,4425,6794,0,0,0,0,109.3096394408,69.8463441451,154.7855559075,0,0,0,0,4427,6193,0,37,0,71,14600,5292,2775,20,0,0,0,0,1437765062825480.0,32982542.9834342,1437765120471714.0,1437765000508985.0,Non-Tor,
10.152.152.11-173.194.65.127-34702-19305-6,10.152.152.11,34702,173.194.65.127,19305,6,24/07/2015 04:52:00 PM,119987196,3239,3036,141638,474570,184,0,43.7289286817,44.6580031464,1460,0,156.314229249,233.3249985197,5135.6146367484,52.2972467829,19124.5132291999,20260.0321681165,133972,4,119987196,37055.9592340952,28236.6954951391,137567,125,119968896,39528.466556837,26215.3754306915,146082,13,1,0,0,0,64780,60720,26.9945469848,25.3026997981,0,1460,98.1920012747,174.7172466503,30526.116277046,0,0,0,3720,6275,0,0,0,0,98.2076494024,43.7289286817,156.314229249,0,0,0,0,3732,5135,0,22,0,75,2640,5960,2083,20,0,0,0,0,1437767581542090.0,34499910.5267005,1437767640821705.0,1437767520835752.0,Non-Tor,
10.152.152.11-173.194.33.105-34481-443-6,10.152.152.11,34481,173.194.33.105,443,6,24/07/2015 04:22:51 PM,75076969,11,11,4756,340,1460,0,432.3636363636,606.3360904197,186,0,30.9090909091,60.0607268445,67.8770076613,0.2930326076,3575093.76190476,11424123.6765795,45119579,38,75076542,7507654.2,16038400.4476223,45119955,157,75076593,7507659.3,16038295.6398154,45120038,88,0,0,0,0,220,220,0.1465163038,0.1465163038,0,1460,221.5652173913,459.7549570732,211374.62055336,0,0,0,7,22,0,0,0,1,231.6363636364,432.3636363636,30.9090909091,0,0,0,0,9,5474,0,216,0,15,2640,2970,6,20,0,0,0,0,1437765839779980.0,18332039.5764448,1437765847042149.0,1437765771966504.0,Non-Tor,
10.152.152.11-10.152.152.10-3516-53-17,10.152.152.11,3516,10.152.152.10,53,17,24/07/2015 05:07:03 PM,280864,1,1,33,49,33,33,33.0,0.0,49,49,49.0,0.0,291.9562492879,7.120884129,280864.0,0.0,280864,280864,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3.5604420645,3.5604420645,33,49,38.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,57.5,33.0,49.0,0,0,0,0,0,0,0,16,0,24,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,Non-Tor,
10.152.152.11-173.194.112.181-47598-443-6,10.152.152.11,47598,173.194.112.181,443,6,24/07/2015 04:50:39 PM,160,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,12500.0,160.0,0.0,160,160,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,6250.0,6250.0,0,0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2640,2640,0,20,0,0,0,0,0.0,0.0,0.0,0.0,Non-Tor,
10.152.152.11-74.125.228.213-59151-443-6,10.152.152.11,59151,74.125.228.213,443,6,24/07/2015 04:51:39 PM,115736656,44,50,6050,36039,1460,0,137.5,377.1079976087,1460,0,720.78,610.3653068082,363.6617944102,0.8121886639,1244480.17204301,6936243.46691726,45039960,6,115736064,2691536.37209302,10069945.3854375,45040355,21,115736186,2361962.97959184,9461595.0863036,45040552,8,0,0,0,0,892,1012,0.3801734171,0.4320152468,0,1460,443.0421052632,588.2778673995,346070.849272116,0,2,0,29,93,0,0,0,1,447.7553191489,137.5,720.78,0,0,0,0,23,14061,0,64,0,383,14600,1777,12,20,0,0,0,0,1437767546876405.0,33532809.2279843,1437767615613271.0,1437767499877710.0,Non-Tor,
10.152.152.11-10.152.152.10-46087-9110-6,10.152.152.11,46087,10.152.152.10,9110,6,24/07/2015 04:58:17 PM,4181,4,4,82,755,82,0,20.5,41.0,755,0,188.75,377.5,200191.341784262,1913.4178426214,597.2857142857,1122.5645808127,3128,26,4096,1365.3333333333,1861.3087689401,3511,185,3871,1290.3333333333,1612.6451355873,3128,111,0,0,0,0,92,92,956.7089213107,956.7089213107,0,755,93.0,249.726850779,62363.5,1,2,0,2,7,0,0,0,1,104.625,20.5,188.75,0,0,0,0,0,0,0,10,0,94,14600,913,1,20,0,0,0,0,1437767897601860.0,1440.0233864023,1437767897604372.0,1437767897600749.0,Non-Tor,
74.125.28.189-10.152.152.11-443-44097-6,74.125.28.189,443,10.152.152.11,44097,6,24/07/2015 04:45:29 PM,119945216,16,16,2556,2612,758,0,159.75,224.0965565703,1460,0,163.25,389.3422658793,43.0863370157,0.2667884645,3869200.51612903,9242306.79150742,29054293,14,119945216,7996347.73333333,12159060.9504773,29092310,22,119906979,7993798.6,12160371.0533241,29054358,103,1,0,0,0,320,320,0.1333942322,0.1333942322,0,1460,161.7575757576,307.5745875295,94602.1268939394,0,0,0,15,32,0,0,0,1,166.8125,159.75,163.25,0,0,0,0,9,5112,0,79,0,81,2640,3346,10,20,0,0,0,0,1437767214939770.0,47679556.2315611,1437767249348530.0,1437767129403866.0,Non-Tor,
10.152.152.11-173.194.33.105-34481-443-6,10.152.152.11,34481,173.194.33.105,443,6,24/07/2015 04:40:51 PM,74969927,10,10,4132,340,1460,0,413.2,621.3824730211,271,0,34.0,86.0503728444,59.6505849606,0.2667736358,3945785.63157895,11982122.5973031,45056465,11,74969550,8329950.0,16791780.7057409,45056853,62,74969539,8329948.77777778,16791648.5212603,45056880,11,0,0,0,0,200,200,0.1333868179,0.1333868179,0,1460,212.9523809524,464.1264349496,215413.347619048,0,0,0,6,20,0,0,0,1,223.6,413.2,34.0,0,0,0,0,8,5857,0,206,0,17,2640,2970,6,20,0,0,0,0,1437766919004520.0,19225533.3823613,1437766926935012.0,1437766851966364.0,Non-Tor,
10.152.152.11-173.194.65.138-57457-443-6,10.152.152.11,57457,173.194.65.138,443,6,24/07/2015 04:13:40 PM,470,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4255.3191489362,470.0,0.0,470,470,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,2127.6595744681,2127.6595744681,0,0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1248,2142,0,20,0,0,0,0,0.0,0.0,0.0,0.0,Non-Tor,
10.152.152.11-74.125.136.120-49132-443-6,10.152.152.11,49132,74.125.136.120,443,6,24/07/2015 04:12:05 PM,104786818,4,4,0,154,0,0,0.0,0.0,154,0,38.5,77.0,1.4696505051,0.0763454808,14969545.4285714,21239634.1943769,45055825,251,104786818,34928939.3333333,17540642.4957768,45056076,14674750,104785618,34928539.3333333,17541502.4590901,45056200,14673357,0,0,0,0,80,80,0.0381727404,0.0381727404,0,154,17.1111111111,51.3333333333,2635.1111111111,1,0,0,1,8,0,0,0,1,19.25,0.0,38.5,0,0,0,0,0,0,0,0,0,19,2640,1918,0,20,0,0,0,0,1437765182247640.0,41575415.6435066,1437765230030969.0,1437765125246170.0,Non-Tor,
173.194.33.97-10.152.152.11-443-56254-6,173.194.33.97,443,10.152.152.11,56254,6,24/07/2015 04:29:54 PM,116916496,222,213,9717,107233,292,0,43.7702702703,58.6664505089,1460,0,503.441314554,588.4293553262,1000.2865634974,3.7206041481,269392.847926267,1185328.22454695,9912966,8,116916496,529033.918552036,1623022.02633125,9951493,8,116879071,551316.37264151,1654688.84505377,9912966,47,1,0,0,0,4440,4260,1.8987910825,1.8218130656,0,1460,268.5871559633,472.5751456101,223327.268248444,0,0,0,187,435,0,0,0,0,269.2045977012,43.7702702703,503.441314554,0,0,0,0,14,4598,0,22,0,246,21627,9520,93,20,0,0,0,0,1437766252329100.0,35024079.1458362,1437766311744830.0,1437766194829751.0,Non-Tor,
74.125.28.189-10.152.152.11-443-44097-6,74.125.28.189,443,10.152.152.11,44097,6,24/07/2015 04:14:24 PM,95031690,13,13,2317,2543,835,0,178.2307692308,252.7987189598,1460,0,195.6153846154,427.9806339975,51.1408352309,0.2735929457,3801267.6,9526595.06533896,29865951,15,94992735,7916061.25,12747259.5662403,29865951,17,95031667,7919305.58333333,12753626.8015895,29905186,72,1,0,0,0,260,260,0.1367964728,0.1367964728,0,1460,183.1481481481,338.3707233771,114494.746438746,0,0,0,12,26,0,0,0,1,190.1923076923,178.2307692308,195.6153846154,0,0,0,0,9,4872,0,89,0,97,2640,3346,8,20,0,0,0,0,1437765323705450.0,17886205.8852374,1437765359342397.0,1437765264349980.0,Non-Tor,
10.152.152.11-10.152.152.10-23355-53-17,10.152.152.11,23355,10.152.152.10,53,17,24/07/2015 04:29:30 PM,397801,1,1,37,53,37,37,37.0,0.0,53,53,53.0,0.0,226.2437751539,5.0276394479,397801.0,0.0,397801,397801,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2.5138197239,2.5138197239,37,53,42.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,63.5,37.0,53.0,0,0,0,0,0,0,0,18,0,26,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,Non-Tor,
10.152.152.11-216.58.216.142-57361-443-6,10.152.152.11,57361,216.58.216.142,443,6,24/07/2015 04:41:50 PM,119005121,310,318,167269,26212,1460,0,539.5774193548,605.615645043,821,0,82.427672956,178.0118189505,1625.8207913591,5.2770838324,189800.830940989,750248.721839791,6788369,4,119004714,385128.524271845,1036868.96171799,6788585,17,119004816,375409.514195583,1022644.66338379,6788615,4,0,0,0,0,6200,6360,2.6049299173,2.6721539151,0,1460,309.9220985692,500.8073627877,250808.014622341,0,0,0,250,628,0,0,0,1,310.4156050955,539.5774193548,82.427672956,0,0,0,0,12,5092,0,266,0,41,21142,8323,212,20,0,0,0,0,1437766971828330.0,34879450.5608181,1437767029378334.0,1437766910373772.0,Non-Tor,
