L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label
46870,53,17,0.0,148,0,2,0,0,4289919,0
4321,1,6,238.0,40,40,1,1,20,4294967,0
40174,3306,6,0.0,434,497,7,6,27,4294769,0
52040,53,17,0.0,144,0,2,0,0,4292466,0
49815,53,17,0.0,148,0,2,0,0,4289919,0
58028,8883,6,222.178,37725,2860,55,55,24,4179483,0
36228,34433,17,0.0,28,0,1,0,0,0,0
49591,53,17,0.0,148,0,2,0,0,4289921,0
58646,53,17,0.0,144,0,2,0,0,4289928,0
138,138,17,0.0,787,0,3,0,0,1050419,0
2148,1,6,238.0,40,40,1,1,20,4294967,0
53586,1782,17,0.0,28,0,1,0,0,0,0
0,0,6,0.0,1356244,0,1554,0,0,4175508,0
56846,53,17,5.126,67,245,1,1,0,4294729,0
33769,53,17,5.126,67,245,1,1,0,4294780,0
40004,3306,6,0.0,434,497,7,6,27,4294769,0
3297,1,6,238.0,40,40,1,1,20,4294967,0
43469,53,17,0.0,592,0,8,0,0,4285928,0
35732,513,6,0.0,170,164,3,3,30,4294965,0
54184,3306,6,0.0,434,497,7,6,27,4294769,0
55554,53,17,0.0,148,0,2,0,0,4289928,0
36228,17091,17,0.0,28,0,1,0,0,0,0
48743,53,17,5.126,50,125,1,1,0,4294959,0
57004,49176,17,0.0,28,0,1,0,0,0,0
34402,19096,17,0.0,28,0,1,0,0,0,0
58028,8883,6,222.178,36894,2340,45,45,24,4179924,0
50342,62699,17,0.0,28,0,1,0,0,0,0
61787,19415,17,0.0,28,0,1,0,0,0,0
39709,19662,17,0.0,28,0,1,0,0,0,0
0,0,6,0.0,4010613,0,5756,0,0,4175008,0
34401,20004,17,0.0,28,0,1,0,0,0,0
47885,53,17,5.126,62,137,1,1,0,4294823,0
35103,1030,17,0.0,28,0,1,0,0,0,0
40016,3306,6,0.0,434,497,7,6,27,4294770,0
33148,53,17,0.0,148,0,2,0,0,4289919,0
39709,20540,17,0.0,28,0,1,0,0,0,0
36945,686,17,0.0,28,0,1,0,0,0,0
50149,53,17,5.126,72,72,1,1,0,4294959,0
50342,6346,17,0.0,28,0,1,0,0,0,0
39579,53,17,0.0,148,0,2,0,0,4289919,0
34401,17236,17,0.0,28,0,1,0,0,0,0
58917,443,6,91.126,150,98,2,1,24,4294961,0
8080,80,6,7.0,9516976,8914578,9594,9594,0,4174980,0
41859,31059,17,0.0,28,0,1,0,0,0,0
36228,829,17,0.0,28,0,1,0,0,0,0
42847,53,17,5.126,62,137,1,1,0,4294823,0
54102,3306,6,0.0,434,497,7,6,27,4294769,0
35147,42172,17,0.0,28,0,1,0,0,0,0
3749,1,6,238.0,40,40,1,1,20,4294967,0
43864,53,17,0.0,148,0,2,0,0,4289927,0
37604,53,17,0.0,144,0,2,0,0,4289925,0
4303,1,6,238.0,40,40,1,1,20,4294967,0
43377,53,17,0.0,148,0,2,0,0,4289928,0
3456,80,17,0.0,2534640,2490960,2520,2520,0,4175008,0
3306,42996,6,20.0,294,120,4,3,29,4294967,0
0,0,6,0.0,1205388,0,1317,0,0,4175026,0
3353,1,6,238.0,40,40,1,1,20,4294967,0
57004,58640,17,0.0,28,0,1,0,0,0,0
41859,16832,17,0.0,28,0,1,0,0,0,0
3456,80,17,0.0,2534640,2490960,2520,2520,0,4175003,0
3957,1,6,238.0,40,40,1,1,20,4294967,0
80,80,17,0.0,8924930,0,9440,0,0,4174978,0
36229,19728,17,0.0,28,0,1,0,0,0,0
3142,1,6,238.0,40,40,1,1,20,4294967,0
33538,53,17,0.0,74,0,1,0,0,0,0
46561,53,17,0.0,148,0,2,0,0,4289919,0
37552,53,17,0.0,148,0,2,0,0,4289919,0
42792,513,6,0.0,373,269,5,5,31,4284875,0
53586,32775,17,0.0,28,0,1,0,0,0,0
3783,1,6,238.0,40,40,1,1,20,4294967,0
80,80,17,0.0,2315070,0,2514,0,0,4175033,0
59780,53,17,0.0,148,0,2,0,0,4289924,0
3397,1,6,238.0,40,40,1,1,20,4294967,0
58999,53,17,0.0,76,467,1,1,0,4293737,0
52948,53,17,5.126,50,125,1,1,0,4294959,0
1488,1,6,238.0,40,40,1,1,20,4294967,0
3456,80,17,0.0,8982207,9417315,9595,9595,0,4174971,0
34401,161,17,0.0,88,0,1,0,0,0,0
49155,60456,6,0.0,228,540,4,6,27,4289960,0
50342,47915,17,0.0,28,0,1,0,0,0,0
58901,996,17,0.0,28,0,1,0,0,0,0
53806,3306,6,0.0,434,497,7,6,27,4294769,0
57004,1646,17,0.0,28,0,1,0,0,0,0
49338,8883,6,222.178,34871,3952,76,76,24,4176661,0
39804,21967,17,0.0,28,0,1,0,0,0,0
40164,3306,6,0.0,434,497,7,6,27,4294769,0
80,42610,6,7.0,1340,667,4,4,27,4265248,0
80,80,6,7.0,840856,0,913,0,0,3430674,0
80,60380,6,7.0,1414,278,6,5,27,4288913,0
3306,57250,6,20.0,170,80,2,2,29,4294967,0
36849,23,17,0.0,28,0,1,0,0,0,0
3185,1,6,238.0,40,40,1,1,20,4294967,0
43190,53,17,0.0,148,0,2,0,0,4289919,0
34402,17946,17,0.0,28,0,1,0,0,0,0
36238,53,17,5.126,72,72,1,1,0,4294959,0
34401,427,17,0.0,82,0,1,0,0,0,0
365,565,17,0.0,237222,0,5157,0,0,4174993,0
44720,53,17,0.0,148,0,2,0,0,4289928,0
80,80,17,0.0,9063905,0,9587,0,0,4174982,0
60693,53,17,0.0,148,0,2,0,0,4289922,0
3306,47864,6,20.0,294,120,4,3,29,4294967,0
4485,1,6,238.0,40,40,1,1,20,4294967,0
0,0,6,0.0,1361640,0,1560,0,0,4175036,0
80,8080,6,7.0,671091,682661,690,690,0,4262173,0
54811,53,17,0.0,148,0,2,0,0,4289919,0
46990,53,17,0.0,148,0,2,0,0,4289919,0
4210,1,6,238.0,40,40,1,1,20,4294967,0
39709,18980,17,0.0,28,0,1,0,0,0,0
4030,1,6,238.0,40,40,1,1,20,4294967,0
80,53594,6,7.0,738,877,5,5,27,4294888,0
46442,53,17,5.126,67,245,1,1,0,4294822,0
32782,443,6,91.239,2066,4293,12,12,26,4294936,0
3259,1,6,238.0,40,40,1,1,20,4294967,0
37074,3306,6,0.0,434,497,7,6,27,4294769,0
2549,1,6,238.0,40,40,1,1,20,4294967,0
4207,1,6,238.0,40,40,1,1,20,4294967,0
59846,513,6,0.0,173,164,3,3,30,4294965,0
4010,1,6,238.0,40,40,1,1,20,4294967,0
38216,53,17,5.126,62,137,1,1,0,4294822,0
49338,8883,6,222.178,39520,5564,107,107,24,4176361,0
39280,53,17,0.0,144,0,2,0,0,4292467,0
41933,1019,17,0.0,28,0,1,0,0,0,0
43942,53,17,5.126,62,137,1,1,0,4294822,0
36849,50164,17,0.0,28,0,1,0,0,0,0
80,80,17,0.0,2320555,0,2519,0,0,4175025,0
40718,53,17,5.126,62,137,1,1,0,4294823,0
2530,1,6,238.0,40,40,1,1,20,4294967,0
33467,53,17,5.126,67,245,1,1,0,4294772,0
80,56900,6,7.0,1340,585,4,5,27,4261690,0
49797,53,17,5.126,67,245,1,1,0,4294822,0
3456,80,17,0.0,2533634,2489823,2519,2519,0,4175044,0
0,0,6,0.0,1360798,0,1559,0,0,4175099,0
365,565,17,0.0,66194,0,1439,0,0,4175144,0
50342,513,17,0.0,28,0,1,0,0,0,0
47844,18883,17,0.0,28,0,1,0,0,0,0
57004,41702,17,0.0,28,0,1,0,0,0,0
36850,62575,17,0.0,28,0,1,0,0,0,0
1471,1,6,238.0,40,40,1,1,20,4294967,0
54090,3306,6,0.0,434,497,7,6,27,4294769,0
36849,20884,17,0.0,28,0,1,0,0,0,0
59812,513,6,0.0,168,164,3,3,30,4294964,0
58028,8883,6,222.178,37573,2704,52,52,24,4178564,0
37767,53,17,0.0,148,0,2,0,0,4289921,0
80,80,6,7.0,2415696,0,2636,0,0,4175180,0
58716,443,6,91.126,285,156,4,3,25,4294961,0
3306,36728,6,20.0,329,216,4,4,27,4294957,0
35103,829,17,0.0,28,0,1,0,0,0,0
3095,1,6,238.0,40,40,1,1,20,4294967,0
37780,53,17,5.126,62,137,1,1,0,4294823,0
35795,5353,17,0.0,74,0,1,0,0,0,0
60441,53,17,0.0,148,0,2,0,0,4289919,0
42251,53,17,0.0,148,0,2,0,0,4289919,0
44436,53,17,5.126,67,245,1,1,0,4294958,0
55508,513,6,0.0,171,164,3,3,30,4294964,0
65040,53,17,5.239,71,1202,1,1,0,4294951,0
57667,53,17,0.0,144,0,2,0,0,4289919,0
37724,53,17,0.0,144,0,2,0,0,4292466,0
39626,3306,6,0.0,434,497,7,6,27,4294769,0
365,565,17,0.0,237222,0,5157,0,0,4174982,0
48692,3306,6,0.0,434,497,7,6,27,4294766,0
60700,53,17,5.212,71,126,1,1,0,4294966,0
50850,8883,6,222.178,39368,4784,92,92,24,4177519,0
54015,53,17,0.0,148,0,2,0,0,4289923,0
40272,3306,6,0.0,434,497,7,6,27,4294768,0
34401,16939,17,0.0,28,0,1,0,0,0,0
55364,53,17,0.0,148,0,2,0,0,4289919,0
39814,3306,6,0.0,434,497,7,6,27,4294769,0
50343,30704,17,0.0,28,0,1,0,0,0,0
58237,53,17,0.0,148,0,2,0,0,4289919,0
47844,31073,17,0.0,28,0,1,0,0,0,0
61786,57958,17,0.0,28,0,1,0,0,0,0
47662,53,17,0.0,148,0,2,0,0,4289919,0
48440,3306,6,0.0,434,497,7,6,27,4294769,0
54216,3306,6,0.0,434,497,7,6,27,4294769,0
53699,53,17,0.0,148,0,2,0,0,4289919,0
37072,3306,6,0.0,434,497,7,6,27,4294769,0
48818,3306,6,0.0,434,497,7,6,27,4294769,0
53842,3306,6,0.0,434,497,7,6,27,4294769,0
80,80,17,0.0,9073829,0,9597,0,0,4174976,0
80,53960,6,7.0,760,468,5,5,27,4294810,0
46817,53,17,0.0,148,0,2,0,0,4289919,0
47867,53,17,0.0,56,1125,1,1,0,4294743,0
41859,767,17,0.0,28,0,1,0,0,0,0
57005,3,17,0.0,28,0,1,0,0,0,0
48437,53,17,5.126,72,72,1,1,0,4294959,0
60664,53,17,0.0,148,0,2,0,0,4289927,0
0,0,6,0.0,1361640,0,1560,0,0,4175043,0
36849,1068,17,0.0,28,0,1,0,0,0,0
61787,52503,17,0.0,28,0,1,0,0,0,0
41942,1019,17,0.0,28,0,1,0,0,0,0
53583,53,17,0.0,148,0,2,0,0,4289926,0
57005,16697,17,0.0,28,0,1,0,0,0,0
51477,53,17,0.0,148,0,2,0,0,4289919,0
4156,1,6,238.0,40,40,1,1,20,4294967,0
41934,1019,17,0.0,28,0,1,0,0,0,0
80,80,17,0.0,2320904,0,2519,0,0,4175036,0
41196,53,17,5.126,72,72,1,1,0,4294959,0
48748,3306,6,0.0,434,497,7,6,27,4294769,0
39709,20425,17,0.0,28,0,1,0,0,0,0
3306,57828,6,20.0,294,120,4,3,29,4294967,0
57722,123,17,9.169,76,76,1,1,0,4294679,0
39912,3306,6,0.0,434,497,7,6,27,4294769,0
27562,53,17,5.178,90,297,1,1,0,4294958,0
3914,1,6,238.0,40,40,1,1,20,4294967,0
38358,53,17,5.126,72,72,1,1,0,4294960,0
39022,53,17,0.0,144,0,2,0,0,4292466,0
36206,53,17,0.0,148,0,2,0,0,4289919,0
56197,53,17,5.126,62,137,1,1,0,4294822,0
4254,1,6,238.0,40,40,1,1,20,4294967,0
80,80,6,7.0,8129935,0,8817,0,0,4175823,0
56269,53,17,0.0,148,0,2,0,0,4289919,0
40726,16430,17,0.0,28,0,1,0,0,0,0
49778,53,17,0.0,148,0,2,0,0,4289919,0
3463,1,6,238.0,40,40,1,1,20,4294967,0
43804,53,17,0.0,144,0,2,0,0,4292466,0
58810,443,6,91.126,285,156,4,3,25,4294944,0
34401,1072,17,0.0,28,0,1,0,0,0,0
49226,53,17,0.0,148,0,2,0,0,4289919,0
4296,1,6,238.0,40,40,1,1,20,4294967,0
47703,53,17,0.0,148,0,2,0,0,4289919,0
48708,3306,6,0.0,434,497,7,6,27,4294768,0
59430,53,17,0.0,148,0,2,0,0,4289919,0
53585,21674,17,0.0,28,0,1,0,0,0,0
61786,21282,17,0.0,28,0,1,0,0,0,0
36849,16896,17,0.0,28,0,1,0,0,0,0
80,8080,6,7.0,2449214,2489345,2518,2518,0,4175070,0
39658,53,17,0.0,148,0,2,0,0,4289919,0
4282,1,6,238.0,40,40,1,1,20,4294967,0
50342,49640,17,0.0,28,0,1,0,0,0,0
3306,53198,6,20.0,294,120,4,3,29,4294967,0
35764,513,6,0.0,187,164,3,3,30,4294965,0
39086,53,17,0.0,144,0,2,0,0,4292466,0
0,0,6,0.0,1204058,0,1315,0,0,4175057,0
34482,21454,17,0.0,28,0,1,0,0,0,0
37104,3306,6,0.0,434,497,7,6,27,4294769,0
45318,53,17,0.0,148,0,2,0,0,4289919,0
3851,1,6,238.0,40,40,1,1,20,4294967,0
3456,80,17,0.0,2532442,2489151,2518,2518,0,4174997,0
3306,49274,6,20.0,294,120,4,3,29,4294966,0
56518,53,17,0.0,148,0,2,0,0,4289919,0
39628,3306,6,0.0,434,497,7,6,27,4294768,0
40298,3306,6,0.0,434,497,7,6,27,4294768,0
45221,53,17,0.0,148,0,2,0,0,4289923,0
41859,773,17,0.0,28,0,1,0,0,0,0
57343,53,17,5.126,62,137,1,1,0,4294959,0
56825,53,17,0.0,144,0,2,0,0,4292466,0
365,565,17,0.0,35420,0,770,0,0,4217844,0
3456,80,17,0.0,8980197,9415634,9593,9593,0,4174986,0
80,34764,6,7.0,770,1172,5,7,31,4294967,0
39710,17549,17,0.0,28,0,1,0,0,0,0
32797,53,17,0.0,148,0,2,0,0,4289919,0
80,8080,6,7.0,2448414,2488868,2517,2517,0,4175045,0
80,80,6,7.0,202476,0,718,0,0,4175209,0
2501,1,6,238.0,40,40,1,1,20,4294967,0
44424,53,17,0.0,148,0,2,0,0,4289919,0
35467,53,17,0.0,148,0,2,0,0,4289919,0
80,80,6,7.0,8850183,0,9597,0,0,4174983,0
48822,3306,6,0.0,434,497,7,6,27,4294769,0
35147,16573,17,0.0,28,0,1,0,0,0,0
3306,56088,6,20.0,294,120,4,3,29,4294967,0
365,565,17,0.0,65964,0,1434,0,0,4175482,0
54332,3306,6,0.0,434,497,7,6,27,4294769,0
34401,49195,17,0.0,28,0,1,0,0,0,0
36229,34855,17,0.0,28,0,1,0,0,0,0
33268,53,17,5.126,62,137,1,1,0,4294823,0
47844,17494,17,0.0,28,0,1,0,0,0,0
80,8080,6,7.0,7465453,7968670,8034,8034,0,0,0
40318,3306,6,0.0,434,497,7,6,27,4294768,0
80,80,17,0.0,2320947,0,2519,0,0,4175017,0
4505,1,6,238.0,40,40,1,1,20,4294967,0
39709,45818,17,0.0,28,0,1,0,0,0,0
51151,53,17,0.0,148,0,2,0,0,4289925,0
4337,1,6,238.0,40,40,1,1,20,4294967,0
3456,80,17,0.0,2377276,2335850,2362,2362,0,0,0
46297,53,17,0.0,148,0,2,0,0,4289919,0
46430,53,17,0.0,144,0,2,0,0,4292466,0
3409,1,6,238.0,40,40,1,1,20,4294967,0
53280,46532,17,0.0,28,0,1,0,0,0,0
58028,8883,6,222.178,37587,2756,53,53,24,4179921,0
35001,53,17,5.126,72,72,1,1,0,4294959,0
57004,19165,17,0.0,28,0,1,0,0,0,0
42797,53,17,5.126,62,137,1,1,0,4294823,0
48291,53,17,0.0,144,0,2,0,0,4289928,0
39709,8181,17,0.0,28,0,1,0,0,0,0
36882,3306,6,0.0,434,497,7,6,27,4294769,0
36233,631,17,0.0,28,0,1,0,0,0,0
80,80,6,7.0,2420400,0,2640,0,0,4174997,0
54290,3306,6,0.0,434,497,7,6,27,4294769,0
54468,53,17,0.0,148,0,2,0,0,4289925,0
4363,1,6,238.0,40,40,1,1,20,4294967,0
47527,53,17,0.0,144,0,2,0,0,4289924,0
36849,38,17,0.0,28,0,1,0,0,0,0
4049,1,6,238.0,40,40,1,1,20,4294967,0
36228,19039,17,0.0,28,0,1,0,0,0,0
55708,53,17,0.0,148,0,2,0,0,4289919,0
57004,18156,17,0.0,28,0,1,0,0,0,0
47844,192,17,0.0,28,0,1,0,0,0,0
4189,1,6,238.0,40,40,1,1,20,4294967,0
59539,53,17,0.0,144,0,2,0,0,4289921,0
46047,53,17,0.0,148,0,2,0,0,4289925,0
36850,682,17,0.0,28,0,1,0,0,0,0
53958,3306,6,0.0,434,497,7,6,27,4294769,0
80,33258,6,7.0,718,676,4,6,30,4294967,0
55893,53,17,5.126,50,125,1,1,0,4294958,0
51901,53,17,0.0,148,0,2,0,0,4289923,0
43522,53,17,0.0,148,0,2,0,0,4289919,0
59854,513,6,0.0,180,164,3,3,30,4294965,0
32996,53,17,5.126,62,137,1,1,0,4294959,0
43283,53,17,0.0,148,0,2,0,0,4289919,0
3944,1,6,238.0,40,40,1,1,20,4294967,0
80,40320,6,7.0,770,724,5,7,31,4294967,0
39986,3306,6,0.0,434,497,7,6,27,4294769,0
45675,53,17,5.126,67,245,1,1,0,4294767,0
50850,8883,6,222.178,38904,4992,96,96,24,4176171,0
61786,45441,17,0.0,28,0,1,0,0,0,0
35148,16839,17,0.0,28,0,1,0,0,0,0
48408,3306,6,0.0,434,497,7,6,27,4294769,0
54576,53,17,0.0,144,0,2,0,0,4292467,0
46520,53,17,0.0,148,0,2,0,0,4289919,0
4462,1,6,238.0,40,40,1,1,20,4294967,0
41859,47915,17,0.0,28,0,1,0,0,0,0
53585,34892,17,0.0,28,0,1,0,0,0,0
27818,53,17,5.239,71,792,1,1,0,4294957,0
34401,36945,17,0.0,28,0,1,0,0,0,0
58272,53,17,5.126,50,125,1,1,0,4294959,0
58330,53,17,5.126,72,72,1,1,0,4294959,0
3306,43006,6,20.0,294,120,4,3,29,4294967,0
41859,34580,17,0.0,28,0,1,0,0,0,0
80,80,6,7.0,236598,0,839,0,0,4175237,0
34401,997,17,0.0,28,0,1,0,0,0,0
58240,443,6,91.126,150,150,2,2,24,4294922,0
36849,49157,17,0.0,28,0,1,0,0,0,0
39007,53,17,5.126,72,72,1,1,0,4294960,0
33663,53,17,5.126,50,125,1,1,0,4294959,0
38377,53,17,0.0,148,0,2,0,0,4289928,0
53798,3306,6,0.0,434,497,7,6,27,4294769,0
39938,3306,6,0.0,434,497,7,6,27,4294768,0
3306,58574,6,20.0,294,120,4,3,29,4294966,0
3306,50338,6,20.0,170,80,2,2,29,4294967,0
34402,19504,17,0.0,28,0,1,0,0,0,0
4125,1,6,238.0,40,40,1,1,20,4294967,0
42713,53,17,0.0,148,0,2,0,0,4289919,0
61786,1782,17,0.0,28,0,1,0,0,0,0
55090,53,17,0.0,148,0,2,0,0,4289919,0
57005,998,17,0.0,28,0,1,0,0,0,0
3306,37944,6,20.0,294,120,4,3,29,4294967,0
36740,3306,6,0.0,434,497,7,6,27,4294768,0
59026,53,17,5.126,72,72,1,1,0,4294960,0
44053,53,17,0.0,148,0,2,0,0,4289919,0
50342,16420,17,0.0,28,0,1,0,0,0,0
4457,1,6,238.0,40,40,1,1,20,4294967,0
34401,18991,17,0.0,28,0,1,0,0,0,0
36849,407,17,0.0,28,0,1,0,0,0,0
53922,3306,6,0.0,434,497,7,6,27,4294769,0
54762,53,17,0.0,148,0,2,0,0,4289926,0
45636,53,17,5.126,50,125,1,1,0,4294959,0
34456,53,17,0.0,148,0,2,0,0,4289919,0
3122,1,6,238.0,40,40,1,1,20,4294967,0
52977,53,17,0.0,148,0,2,0,0,4289919,0
49338,8883,6,222.178,37020,2496,48,48,24,4176414,0
0,0,1,0.0,112,0,2,0,0,1389205,0
40727,5500,17,0.0,28,0,1,0,0,0,0
365,565,17,0.0,66056,0,1436,0,0,4175029,0
3939,1,6,238.0,40,40,1,1,20,4294967,0
3456,80,17,0.0,2534640,2490960,2520,2520,0,4175046,0
2558,1,6,238.0,40,40,1,1,20,4294967,0
57005,57813,17,0.0,28,0,1,0,0,0,0
3241,1,6,238.0,40,40,1,1,20,4294967,0
3486,1,6,238.0,40,40,1,1,20,4294967,0
60550,53,17,5.126,67,245,1,1,0,4294785,0
3306,47388,6,20.0,294,120,4,3,29,4294967,0
54468,123,17,0.0,76,76,1,1,0,4294953,0
48508,3306,6,0.0,434,497,7,6,27,4294768,0
3306,47406,6,20.0,294,120,4,3,29,4294967,0
44355,53,17,5.126,72,72,1,1,0,4294959,0
80,58134,6,7.0,1328,299,4,5,27,4294953,0
41859,28840,17,0.0,28,0,1,0,0,0,0
2541,1,6,238.0,40,40,1,1,20,4294967,0
4013,1,6,238.0,40,40,1,1,20,4294967,0
1455,1,6,238.0,40,40,1,1,20,4294967,0
35103,22914,17,0.0,28,0,1,0,0,0,0
2515,1,6,238.0,40,40,1,1,20,4294967,0
55992,53,17,0.0,144,0,2,0,0,4289928,0
80,8080,6,7.0,2450980,2489936,2519,2519,0,4175045,0
58432,53,17,0.0,148,0,2,0,0,4289919,0
40726,5500,17,0.0,28,0,1,0,0,0,0
59552,8883,6,222.178,40537,5980,115,115,24,4176033,0
36850,23965,17,0.0,28,0,1,0,0,0,0
44333,53,17,0.0,148,0,2,0,0,4289919,0
54078,3306,6,0.0,434,497,7,6,27,4294769,0
38621,53,17,0.0,148,0,2,0,0,4289919,0
37328,3306,6,0.0,434,497,7,6,27,4294769,0
3306,44086,6,20.0,294,120,4,3,29,4294967,0
38659,53,17,5.126,67,245,1,1,0,4294712,0
56712,53,17,0.0,148,0,2,0,0,4289923,0
4041,1,6,238.0,40,40,1,1,20,4294967,0
57373,53,17,0.0,148,0,2,0,0,4289919,0
3456,80,17,0.0,2515821,2471698,2501,2501,0,4175862,0
56567,53,17,0.0,148,0,2,0,0,4289919,0
36849,1457,17,0.0,28,0,1,0,0,0,0
46166,53,17,0.0,148,0,2,0,0,4289919,0
46275,53,17,5.126,72,72,1,1,0,4294959,0
80,35402,6,7.0,52,64,1,1,17,4294967,0
52852,53,17,0.0,56,1125,1,1,0,4294740,0
3456,80,17,0.0,2175553,2062938,2152,2152,0,4175004,0
63345,53,17,0.0,68,789,1,1,0,4294954,0
61786,40732,17,0.0,28,0,1,0,0,0,0
49072,53,17,0.0,144,0,2,0,0,4289924,0
41164,53,17,0.0,144,0,2,0,0,4292467,0
36936,3306,6,0.0,434,497,7,6,27,4294768,0
53968,3306,6,0.0,434,497,7,6,27,4294769,0
35403,53,17,0.0,148,0,2,0,0,4289919,0
80,80,17,0.0,2321640,0,2520,0,0,4175005,0
59822,53,17,5.126,50,125,1,1,0,4294823,0
3355,1,6,238.0,40,40,1,1,20,4294967,0
80,80,6,7.0,1681300,0,1833,0,0,4211551,0
