Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
20.0,6,64.0,32681.190587501947,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,3.060817718505859e-05,100.0,0.0,DDOS-SYNONYMOUSIP_FLOOD
0.08,1,64.64,20982.01100550275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.0,1.0,1.0,6022.0,60.0,82.0,60.22,2.200000000000002,60.22,4.7669410705566406e-05,100.0,4.840000000000009,DDOS-ICMP_FLOOD
8.0,17,64.0,44582.31292517007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.2430419921875e-05,100.0,0.0,DDOS-UDP_FLOOD
20.0,6,64.0,30929.16451589116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,3.2331943511962894e-05,100.0,0.0,DDOS-SYN_FLOOD
20.0,6,64.0,16680.46927818652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,5.995988845825196e-05,100.0,0.0,DOS-TCP_FLOOD
8.0,17,64.0,13080.62997037268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,7.644891738891601e-05,100.0,0.0,DDOS-UDP_FLOOD
0.0,1,64.0,23657.8712843364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,4.227876663208008e-05,100.0,0.0,DDOS-ICMP_FLOOD
20.0,6,64.0,34247.603494733405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.919912338256836e-05,100.0,0.0,DDOS-TCP_FLOOD
8.0,17,64.0,24912.71085768591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,4.0149688720703126e-05,100.0,0.0,DDOS-UDP_FLOOD
18.4,6,49.8,318.04425302173223,0.0,0.0,0.0,0.3,0.5,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.2,0.0,0.0,0.8,0.8,1593.0,60.0,680.0,159.3,197.80239859235505,159.3,0.0034353017807006,10.0,39125.7888888889,VULNERABILITYSCAN
8.72,17,64.0,8750.529917382959,0.0,0.0,0.0,0.01,0.03,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.97,0.0,0.0,0.0,0.0,1.0,1.0,6169.0,60.0,217.0,61.69,15.71057354815927,61.69,0.0001146483421325,100.0,246.8221212121217,DOS-UDP_FLOOD
20.76,6,64.0,20112.70739426489,0.0,0.19,0.81,0.0,0.19,0.0,0.0,19,19,0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,4.971981048583984e-05,100.0,0.0,DOS-SYN_FLOOD
20.0,6,64.0,39824.38283327004,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.5119781494140625e-05,100.0,0.0,DDOS-PSHACK_FLOOD
20.0,6,64.0,19650.053876786133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,5.089044570922851e-05,100.0,0.0,DDOS-TCP_FLOOD
20.0,6,64.0,47127.011235955055,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.123117446899414e-05,100.0,0.0,DDOS-PSHACK_FLOOD
20.0,6,64.0,44587.052195173805,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.2428035736083983e-05,100.0,0.0,DDOS-SYNONYMOUSIP_FLOOD
20.12,6,64.59,27623.1822971549,0.99,0.0,0.99,0.01,0.01,0.0,0.0,1,0,99,99,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6079.0,60.0,139.0,60.79,7.9,60.79,3.620147705078125e-05,100.0,62.41000000000001,DDOS-RSTFINFLOOD
0.0,1,64.0,8996.791076791076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,0.0001111602783203,100.0,0.0,DDOS-ICMP_FLOOD
20.0,6,64.0,44945.39219888556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.224922180175781e-05,100.0,0.0,DDOS-TCP_FLOOD
0.32,1,64.0,35523.87566697722,0.0,0.0,0.0,0.01,0.01,0.0,0.0,1,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.99,0.0,1.0,1.0,6203.0,60.0,263.0,62.03,20.30000000000004,62.03,2.8150081634521483e-05,100.0,412.0900000000016,DDOS-ICMP_FLOOD
20.0,6,62.0,102.55999960876466,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,4425.0,60.0,1514.0,442.5,617.8272412252473,442.5,0.0099376916885375,10.0,381710.5,BENIGN
20.0,6,64.0,17786.794453161445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,5.6221485137939454e-05,100.0,0.0,DDOS-TCP_FLOOD
32.0,6,80.7,158.05792022308896,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7027.0,66.0,1514.0,702.7,713.0741039876416,702.7,0.0063930988311767,10.0,508474.6777777778,BENIGN
20.0,6,64.0,20841.262111801243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,4.798173904418945e-05,100.0,0.0,DOS-TCP_FLOOD
2.56,1,64.75,6642.758271170872,0.0,0.06,0.0,0.0,0.06,0.06,0.0,6,6,0,0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.92,0.0,1.0,1.0,6440.0,60.0,259.0,64.4,25.324161018938643,64.4,0.0001505398750305,100.0,641.3131313131315,DDOS-ICMP_FLOOD
20.0,6,64.0,30673.57027936229,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,3.261089324951172e-05,100.0,0.0,DDOS-SYN_FLOOD
0.0,1,64.0,186247.9573712256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.223014831542969e-05,100.0,0.0,DDOS-ICMP_FLOOD
20.0,6,64.0,5423.90275442907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,0.0001845788955688,100.0,0.0,DOS-TCP_FLOOD
20.0,6,64.0,44582.31292517007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.2430419921875e-05,100.0,0.0,DDOS-SYN_FLOOD
19.8,6,63.36,17777.747637010976,0.0,0.0,0.02,0.97,0.97,0.0,0.0,97,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000.0,60.0,60.0,60.0,0.0,60.0,5.625009536743164e-05,100.0,0.0,DDOS-PSHACK_FLOOD
8.0,17,64.0,30646.67543475084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,3.262996673583985e-05,100.0,0.0,DOS-UDP_FLOOD
18.8,6,74.8,112.82866296695818,0.1,0.0,0.0,0.3,0.9,0.0,0.0,9,0,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,3566.0,54.0,1500.0,356.6,538.3557683663595,356.6,0.0112787008285522,10.0,289826.93333333335,DNS_SPOOFING
8.52,17,67.71,32177.245876486384,0.0,0.0,0.0,0.03,0.04,0.0,0.0,4,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.95,0.0,0.0,0.01,0.0,1.0,1.0,7387.0,60.0,1239.0,73.87,118.35135628861023,73.87,0.0001133298873901,100.0,14007.043535353563,DDOS-UDP_FLOOD
0.0,1,64.0,37147.32087503321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.716064453125e-05,100.0,0.0,DDOS-ICMP_FLOOD
20.0,6,64.0,41254.09658699715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.424001693725586e-05,100.0,0.0,DDOS-TCP_FLOOD
0.0,1,64.0,14624.490934449092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,6.838798522949218e-05,100.0,0.0,DDOS-ICMP_FLOOD
8.48,17,67.48,13620.523478599727,0.0,0.0,0.0,0.01,0.02,0.0,0.0,2,0,0,0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,0.0,0.0,0.0,1.0,1.0,16059.0,66.0,162.0,160.59,10.561120808288903,160.59,7.341861724853516e-05,100.0,111.53727272727284,DOS-UDP_FLOOD
19.8,6,63.36,28826.831615120274,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000.0,60.0,60.0,60.0,0.0,60.0,3.4689903259277344e-05,100.0,0.0,DDOS-SYN_FLOOD
20.0,6,64.0,49778.11535722763,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.0089149475097657e-05,100.0,0.0,DDOS-RSTFINFLOOD
0.0,1,64.0,41577.16098334655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.4061203002929688e-05,100.0,0.0,DDOS-ICMP_FLOOD
19.8,6,63.36,14714.274688651114,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000.0,60.0,60.0,60.0,0.0,60.0,6.79612159729004e-05,100.0,0.0,DDOS-SYNONYMOUSIP_FLOOD
20.0,6,65.91,19836.8520620507,0.0,0.0,0.0,0.02,0.02,0.0,0.0,2,0,0,0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,6123.0,60.0,156.0,61.23,9.946173316223856,61.23,5.041122436523437e-05,100.0,98.92636363636343,DOS-TCP_FLOOD
20.0,6,64.0,28984.20288853569,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,3.451108932495117e-05,100.0,0.0,DDOS-SYNONYMOUSIP_FLOOD
7.92,17,63.36,80258.4003061615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.01,0.0,0.0,0.99,0.99,6000.0,60.0,60.0,60.0,0.0,60.0,1.2488365173339844e-05,100.0,0.0,DDOS-UDP_FLOOD
19.76,6,63.37,9268.770441085477,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0,98,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,7416.0,60.0,768.0,74.16,99.6193482484932,74.16,0.000107889175415,100.0,9924.014545454564,DDOS-SYN_FLOOD
20.0,6,64.0,21644.66921250903,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,4.621028900146484e-05,100.0,0.0,DDOS-RSTFINFLOOD
19.76,6,65.28,42443.87775753896,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0,98,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,6165.0,60.0,147.0,61.65,11.6257942055195,61.65,2.3679733276367182e-05,100.0,135.1590909090908,DDOS-SYNONYMOUSIP_FLOOD
0.0,1,63.36,22893.422848097813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.99,0.0,0.99,0.99,6000.0,60.0,60.0,60.0,0.0,60.0,4.431962966918945e-05,100.0,0.0,DDOS-ICMP_FLOOD
28.84,6,74.46,1011.706872305989,0.08,0.13,0.19,0.32,0.68,0.0,0.0,68,13,8,19,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.92,0.08,0.0,0.0,0.0,0.0,1.0,1.0,14318.0,60.0,2962.0,143.18,329.54548987808914,143.18,0.000988438129425,100.0,108600.22989898974,DDOS-SLOWLORIS
20.0,6,64.0,30922.32379828959,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,3.2351016998291015e-05,100.0,0.0,DDOS-RSTFINFLOOD
20.0,6,64.0,15769.83870361319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,6.341218948364258e-05,100.0,0.0,DDOS-TCP_FLOOD
8.0,17,64.0,43401.32450331126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.306938171386719e-05,100.0,0.0,DDOS-UDP_FLOOD
8.48,17,63.71,24808.0913231206,0.01,0.0,0.0,0.01,0.02,0.0,0.0,2,0,1,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,0.0,0.0,0.0,1.0,1.0,6387.0,60.0,441.0,63.87,38.09866377995672,63.87,4.031896591186524e-05,100.0,1451.508181818186,DOS-UDP_FLOOD
8.0,17,64.0,42956.82097501024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.000000000000002,60.1,2.676963806152344e-05,100.0,1.0000000000000042,DDOS-UDP_FLOOD
8.0,17,64.0,51444.91598184717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,1.944780349731445e-05,100.0,0.0,DDOS-UDP_FLOOD
8.0,17,64.0,8058.066127451922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,0.0001241111755371,100.0,0.0,DDOS-UDP_FLOOD
0.4,1,70.9,3188.9785211936896,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.02,0.95,0.0,0.98,0.98,6508.0,60.0,350.0,65.08,32.50040559187476,65.08,0.0003135895729064,100.0,1056.2763636363643,DDOS-ICMP_FLOOD
20.0,6,64.0,36311.17652151329,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.766132354736328e-05,100.0,0.0,DDOS-RSTFINFLOOD
8.0,17,64.0,31605.033531760982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,3.165006637573242e-05,100.0,0.0,DDOS-UDP_FLOOD
19.84,6,66.95,5777.676148495076,0.0,0.01,0.02,0.96,0.99,0.0,0.0,99,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000.0,60.0,60.0,60.0,0.0,60.0,0.0001762104034423,100.0,0.0,DDOS-PSHACK_FLOOD
20.0,6,64.0,44346.62719390992,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.2559165954589845e-05,100.0,0.0,DDOS-PSHACK_FLOOD
0.0,1,64.0,56367.47748958474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,1.7991065979003905e-05,100.0,0.0,DDOS-ICMP_FLOOD
8.0,17,64.0,48427.479505830735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.067089080810547e-05,100.0,0.0,DDOS-UDP_FLOOD
20.0,6,64.0,24545.318352059927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,4.075050354003906e-05,100.0,0.0,DDOS-TCP_FLOOD
19.8,6,63.36,7124.083227176221,0.0,0.0,0.0,0.99,0.99,0.0,0.0,99,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000.0,60.0,60.0,60.0,0.0,60.0,0.000140368938446,100.0,0.0,DDOS-PSHACK_FLOOD
20.0,6,64.0,40681.90106692532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000.0,60.0,60.0,60.0,0.0,60.0,2.512931823730469e-05,100.0,0.0,DDOS-TCP_FLOOD
