Date,Duration,Protocol,Src_IP,Src_Port,Dst_IP,Dst_Port,Flags,Tos,Packets,Bytes,Flows,Label
2011-08-18 10:19:13.347,4.985,TCP,147.32.80.13,80,,0,->,147.32.85.88:56949,PA_,0,86277,LEGITIMATE
2011-08-18 10:19:13.349,4.976,TCP,147.32.86.110,48190,188.95.61.42,53389,PA_,0,200,21008,1,Background
2011-08-18 10:19:13.350,4.944,TCP,147.32.86.166,48761,195.250.146.100,8000,A_,0,64,4224,1,Background
2011-08-18 10:19:13.351,2.022,UDP,115.108.130.214,54176,147.32.84.229,13363,INT,0,2,354,1,Background
2011-08-18 10:19:13.351,2.330,TCP,147.32.84.229,13363,122.176.204.167,16041,PA_,0,4,360,1,Background
2011-08-18 10:19:13.352,2.055,TCP,82.209.194.12,2042,147.32.86.165,12114,PA_,0,3,263,1,Background
2011-08-18 10:19:13.354,4.885,TCP,147.32.82.101,57919,147.32.86.88,3389,PA_,0,14,1299,1,Background
2011-08-18 10:19:13.360,4.896,TCP,195.250.146.100,8000,147.32.86.166,48761,PA_,0,92,125080,1,Background
2011-08-18 10:19:13.361,3.340,TCP,194.108.204.22,48747,147.32.84.138,8080,PA_,0,11,3782,1,Background
2011-08-18 10:19:13.362,3.005,TCP,147.32.85.74,1423,147.32.203.229,2971,PA_,0,4,466,1,Background
2011-08-18 10:19:13.362,3.309,TCP,147.32.84.138,8080,194.108.204.22,48747,PA_,0,7,2154,1,Background
2011-08-18 10:19:13.363,3.003,TCP,147.32.203.229,2971,147.32.85.74,1423,PA_,0,2,282,1,Background
2011-08-18 10:19:13.365,0.000,TCP,147.32.85.56,44076,193.87.80.3,51019,A_,0,1,60,1,Background
2011-08-18 10:19:13.365,4.153,TCP,147.32.84.2,80,,0,->,115.184.37.24:49190,A_,0,34822,Background
2011-08-18 10:19:13.373,0.288,TCP,147.32.86.24,31002,95.227.158.77,60330,PA_,0,3,188,1,Background
2011-08-18 10:19:13.375,1.031,TCP,147.32.84.118,2956,84.222.204.28,6881,S_,0,3,186,1,Background
2011-08-18 10:19:13.383,0.191,TCP,67.218.100.83,80,147.32.86.53,40099,SPA_,0,3,564,1,Background
2011-08-18 10:19:13.383,0.191,TCP,147.32.86.53,40099,67.218.100.83,80,PA_,0,3,1055,1,Background
2011-08-18 10:19:13.385,4.937,UDP,24.4.101.240,19472,147.32.84.59,43087,INT,0,201,12870,1,Background
2011-08-18 10:19:13.386,4.046,TCP,147.32.84.229,13363,147.213.68.141,1040,PA_,0,6,369,1,Background
2011-08-18 10:19:13.386,0.000,TCP,147.32.84.229,3792,147.32.89.184,58898,A_,0,1,60,1,Background
2011-08-18 10:19:13.386,0.000,UDP,86.161.84.198,31480,147.32.84.229,13363,INT,0,1,75,1,Background
2011-08-18 10:19:13.386,0.000,UDP,147.32.84.229,13363,86.161.84.198,31480,INT,0,1,60,1,Background
2011-08-18 10:19:13.387,4.936,UDP,147.32.84.59,43087,24.4.101.240,19472,INT,0,405,599400,1,Background
2011-08-18 10:19:13.389,0.000,UDP,213.155.227.215,35316,147.32.84.229,13363,INT,0,1,182,1,Background
2011-08-18 10:19:13.391,0.000,TCP,147.32.84.229,443,151.45.215.195,1059,PA_,0,1,60,1,Background
2011-08-18 10:19:13.391,4.697,TCP,147.32.84.229,13363,213.155.227.215,59277,PA_,0,9,826,1,Background
2011-08-18 10:19:13.392,3.827,TCP,147.213.68.141,1040,147.32.84.229,13363,PA_,0,5,853,1,Background
2011-08-18 10:19:13.392,4.905,UDP,147.32.84.59,56328,192.134.164.161,443,INT,0,24,5992,1,Background
2011-08-18 10:19:13.392,0.417,UDP,192.166.145.21,1708,147.32.84.229,13363,INT,0,2,271,1,Background
2011-08-18 10:19:13.392,0.000,TCP,74.125.232.214,443,147.32.86.110,48102,PA_,0,1,119,1,Background
2011-08-18 10:19:13.392,0.000,TCP,147.32.86.110,48102,74.125.232.214,443,A_,0,1,66,1,LEGITIMATE
2011-08-18 10:19:13.393,4.695,TCP,151.41.188.39,49615,147.32.86.24,31002,PA_,0,17,1020,1,Background
2011-08-18 10:19:13.393,4.695,TCP,147.32.86.24,31002,151.41.188.39,49615,PA_,0,17,2030,1,Background
2011-08-18 10:19:13.393,0.977,TCP,147.32.84.229,13363,192.166.145.6,49198,PA_,0,5,379,1,Background
2011-08-18 10:19:13.402,0.000,TCP,85.237.224.48,32016,147.32.85.56,44076,PA_,0,1,60,1,Background
2011-08-18 10:19:13.408,0.000,TCP,89.135.152.106,48071,147.32.87.220,1126,A_,0,1,66,1,Background
2011-08-18 10:19:13.411,4.921,TCP,147.32.85.88,56949,147.32.80.13,80,,A_,0,49,3234,LEGITIMATE
2011-08-18 10:19:13.426,4.915,TCP,211.101.37.103,52424,147.32.84.2,80,,A_,0,45,2724,Background
2011-08-18 10:19:13.428,0.013,TCP,147.32.84.59,2492,195.72.134.115,80,PA_,0,3,800,1,Background
2011-08-18 10:19:13.429,0.091,UDP,81.81.67.46,24210,147.32.84.229,13363,INT,0,2,141,1,Background
2011-08-18 10:19:13.430,0.092,UDP,147.32.84.229,13363,81.81.67.46,24210,INT,0,2,120,1,Background
2011-08-18 10:19:13.434,4.417,TCP,147.32.86.223,36085,195.130.82.45,443,PA_,0,7,592,1,Background
2011-08-18 10:19:13.434,0.201,TCP,147.32.84.59,49320,62.44.1.24,80,,PA_,0,2,675,Background
2011-08-18 10:19:13.435,0.000,TCP,62.44.1.24,80,,0,->,147.32.84.59:49320,PA_,0,174,Background
2011-08-18 10:19:13.439,0.001,TCP,195.72.134.115,80,147.32.84.59,2492,PA_,0,3,2721,1,Background
2011-08-18 10:19:13.440,1.031,TCP,84.222.204.28,6881,147.32.84.118,2956,RA_,0,3,180,1,Background
2011-08-18 10:19:13.443,0.000,UDP,116.50.166.74,58467,147.32.84.229,13363,INT,0,1,76,1,Background
2011-08-18 10:19:13.443,0.000,UDP,147.32.84.229,13363,116.50.166.74,58467,INT,0,1,480,1,Background
2011-08-18 10:19:13.443,0.000,UDP,147.32.84.229,13363,46.5.184.57,36165,INT,0,1,155,1,Background
2011-08-18 10:19:13.454,0.000,TCP,217.150.190.17,31447,147.32.86.24,443,PA_,0,1,70,1,Background
2011-08-18 10:19:13.458,4.577,TCP,147.32.86.88,3389,147.32.82.101,57919,PA_,0,16,1891,1,Background
2011-08-18 10:19:13.458,4.743,TCP,74.125.108.208,80,147.32.84.59,2768,PA_,0,496,748976,1,Background
2011-08-18 10:19:13.460,4.742,TCP,147.32.84.59,2768,74.125.108.208,80,A_,0,118,7080,1,LEGITIMATE
2011-08-18 10:19:13.461,0.399,TCP,95.227.158.77,60330,147.32.86.24,31002,PA_,0,3,185,1,Background
2011-08-18 10:19:13.486,0.000,TCP,147.32.84.59,56058,74.125.232.215,443,A_,0,1,60,1,LEGITIMATE
2011-08-18 10:19:13.491,2.637,TCP,41.130.235.95,55043,147.32.84.229,13363,PA_,0,5,2820,1,Background
2011-08-18 10:19:13.495,0.026,TCP,147.32.84.229,13363,212.239.26.199,51572,PA_,0,2,120,1,Background
2011-08-18 10:19:13.518,4.966,UDP,58.182.2.6,16289,147.32.84.59,43087,INT,0,47,3088,1,Background
2011-08-18 10:19:13.520,4.965,UDP,147.32.84.59,43087,58.182.2.6,16289,INT,0,106,156880,1,Background
2011-08-18 10:19:13.520,0.000,UDP,147.32.87.30,38973,147.32.80.9,53,,INT,0,1,78,Background
2011-08-18 10:19:13.521,0.000,UDP,147.32.80.9,53,,0,->,147.32.87.30:38973,INT,0,128,Background
2011-08-18 10:19:13.521,0.129,TCP,212.239.26.199,51572,147.32.84.229,13363,PA_,0,2,150,1,Background
2011-08-18 10:19:13.526,0.000,TCP,46.158.48.2,50444,147.32.84.118,6881,S_,0,1,62,1,Background
2011-08-18 10:19:13.526,0.000,TCP,147.32.84.118,6881,46.158.48.2,50444,RA_,0,1,60,1,Background
2011-08-18 10:19:13.528,4.814,TCP,147.32.84.2,80,,0,->,211.101.37.103:52424,PA_,0,127194,Background
2011-08-18 10:19:13.528,0.000,PIM,147.32.87.1,0,,0,->,224.0.0.13,,INT,1,Background
2011-08-18 10:19:13.533,4.800,UDP,147.32.84.94,7103,178.200.203.145,7300,INT,0,72,78012,1,Background
2011-08-18 10:19:13.533,4.799,UDP,147.32.84.94,7103,81.57.190.106,6911,INT,0,17,18419,1,Background
2011-08-18 10:19:13.552,0.097,TCP,77.127.196.107,1126,147.32.84.229,443,PA_,0,2,120,1,Background
2011-08-18 10:19:13.552,0.270,TCP,147.32.84.229,443,77.127.196.107,1126,PA_,0,2,123,1,Background
2011-08-18 10:19:13.559,4.352,TCP,213.155.227.215,59277,147.32.84.229,13363,PA_,0,6,411,1,Background
2011-08-18 10:19:13.564,0.000,TCP,147.32.84.73,22,,0,->,113.161.71.62:38217,A_,0,60,Background
2011-08-18 10:19:13.572,0.000,UDP,115.173.243.205,53827,147.32.84.229,13363,INT,0,1,80,1,Background
2011-08-18 10:19:13.573,0.000,UDP,147.32.84.229,13363,115.173.243.205,53827,INT,0,1,60,1,Background
2011-08-18 10:19:13.583,0.000,TCP,147.32.85.56,44076,85.237.224.48,32016,A_,0,1,60,1,Background
2011-08-18 10:19:13.584,0.000,UDP,147.32.84.229,13363,213.155.227.215,35316,INT,0,1,73,1,Background
2011-08-18 10:19:13.591,0.000,TCP,147.32.86.24,31002,194.161.219.176,51003,A_,0,1,60,1,Background
2011-08-18 10:19:13.591,0.000,TCP,147.32.86.24,443,217.150.190.17,31447,A_,0,1,66,1,Background
2011-08-18 10:19:13.601,0.000,TCP,147.32.84.118,2952,31.162.200.244,6881,S_,0,1,62,1,Background
2011-08-18 10:19:13.603,0.000,UDP,174.98.117.98,57224,147.32.84.229,13363,INT,0,1,180,1,Background
2011-08-18 10:19:13.603,0.000,UDP,147.32.84.229,13363,174.98.117.98,57224,INT,0,1,62,1,Background
2011-08-18 10:19:13.603,0.000,UDP,147.32.84.229,13363,77.126.195.83,23065,INT,0,1,79,1,Background
2011-08-18 10:19:13.605,0.213,TCP,85.207.55.78,1054,147.32.84.229,13363,PA_,0,2,295,1,Background
2011-08-18 10:19:13.605,0.000,TCP,147.32.84.229,13363,85.207.55.78,1054,PA_,0,1,60,1,Background
2011-08-18 10:19:13.610,1.397,TCP,130.192.181.149,43106,147.32.84.229,443,PA_,0,7,628,1,Background
2011-08-18 10:19:13.611,0.000,UDP,147.32.84.229,13363,68.51.197.191,21348,INT,0,1,77,1,Background
2011-08-18 10:19:13.611,0.000,UDP,147.32.84.229,13363,114.26.174.109,31056,INT,0,1,76,1,Background
2011-08-18 10:19:13.613,0.000,UDP,77.85.143.253,9800,147.32.84.229,13363,INT,0,1,85,1,Background
2011-08-18 10:19:13.613,4.347,TCP,81.81.67.46,49171,147.32.84.229,13363,SPA_,0,9,720,1,Background
2011-08-18 10:19:13.613,4.475,TCP,147.32.84.229,13363,81.81.67.46,49171,SPA_,0,7,640,1,Background
2011-08-18 10:19:13.614,0.000,UDP,147.32.84.229,13363,77.85.143.253,9800,INT,0,1,61,1,Background
2011-08-18 10:19:13.642,0.738,UDP,95.149.168.251,11267,147.32.84.229,13363,INT,0,3,450,1,Background
2011-08-18 10:19:13.643,0.648,UDP,147.32.84.229,13363,95.149.168.251,11267,INT,0,3,469,1,Background
2011-08-18 10:19:13.647,4.957,TCP,81.20.48.51,80,,0,->,147.32.84.59:39836,PA_,0,35336,Background
2011-08-18 10:19:13.647,4.957,TCP,147.32.84.59,39836,81.20.48.51,80,,A_,0,27,1782,Background
2011-08-18 10:19:13.658,0.000,UDP,94.179.103.184,6909,147.32.84.229,13363,INT,0,1,186,1,Background
2011-08-18 10:19:13.658,0.000,UDP,147.32.84.229,13363,94.179.103.184,6909,INT,0,1,62,1,Background
2011-08-18 10:19:13.663,0.000,TCP,84.12.54.36,49818,147.32.84.118,6881,S_,0,1,62,1,Background
2011-08-18 10:19:13.664,0.000,TCP,147.32.84.118,6881,84.12.54.36,49818,RA_,0,1,60,1,Background
2011-08-18 10:19:13.664,4.762,TCP,192.166.145.6,49198,147.32.84.229,13363,PA_,0,5,864,1,Background
2011-08-18 10:19:13.664,0.000,TCP,151.45.215.195,1059,147.32.84.229,443,A_,0,1,60,1,Background
2011-08-18 10:19:13.682,0.000,UDP,203.125.50.50,9120,147.32.84.229,13363,INT,0,1,74,1,Background
2011-08-18 10:19:13.682,0.000,UDP,147.32.84.229,13363,203.125.50.50,9120,INT,0,1,60,1,Background
2011-08-18 10:19:13.686,0.000,UDP,2.32.222.83,61412,147.32.84.229,13363,INT,0,1,73,1,Background
2011-08-18 10:19:13.687,0.000,UDP,147.32.84.229,13363,2.32.222.83,61412,INT,0,1,60,1,Background
2011-08-18 10:19:13.689,4.434,TCP,195.24.232.164,80,147.32.84.164,34588,PA_,0,65,91860,1,Background
2011-08-18 10:19:13.689,4.434,TCP,147.32.84.164,34588,195.24.232.164,80,A_,0,30,1980,1,LEGITIMATE
2011-08-18 10:19:13.696,0.000,UDP,196.44.240.61,28714,147.32.84.229,13363,INT,0,1,67,1,Background
2011-08-18 10:19:13.697,0.000,UDP,147.32.84.229,13363,196.44.240.61,28714,INT,0,1,60,1,Background
2011-08-18 10:19:13.708,0.000,UDP,49.240.140.102,20426,147.32.84.229,443,INT,0,1,60,1,Background
2011-08-18 10:19:13.708,0.000,UDP,147.32.84.229,443,49.240.140.102,20426,INT,0,1,68,1,Background
2011-08-18 10:19:13.710,0.000,UDP,147.32.85.25,57977,147.32.80.9,53,,INT,0,1,79,Background
2011-08-18 10:19:13.710,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:57977,INT,0,129,Background
2011-08-18 10:19:13.711,0.000,UDP,147.32.85.25,59665,147.32.80.9,53,,INT,0,1,66,Background
2011-08-18 10:19:13.711,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:59665,INT,0,141,Background
2011-08-18 10:19:13.720,0.000,TCP,147.32.84.59,2313,80.239.149.26,80,FA_,0,1,66,1,Background
2011-08-18 10:19:13.721,4.404,UDP,201.209.15.135,42264,147.32.84.59,43087,INT,0,8,522,1,Background
2011-08-18 10:19:13.721,3.738,UDP,147.32.84.59,43087,201.209.15.135,42264,INT,0,9,13320,1,Background
2011-08-18 10:19:13.727,4.379,TCP,94.126.186.67,57955,147.32.84.229,80,A_,0,5,300,1,Background
2011-08-18 10:19:13.727,4.379,TCP,147.32.84.229,80,94.126.186.67,57955,A_,0,5,300,1,Background
2011-08-18 10:19:13.727,0.000,TCP,80.239.149.26,80,147.32.84.59,2313,A_,0,1,66,1,Background
2011-08-18 10:19:13.730,0.000,UDP,147.32.85.25,55886,147.32.80.9,53,,INT,0,1,79,Background
2011-08-18 10:19:13.730,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:55886,INT,0,129,Background
2011-08-18 10:19:13.730,0.000,UDP,147.32.85.25,33234,147.32.80.9,53,,INT,0,1,66,Background
2011-08-18 10:19:13.730,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:33234,INT,0,141,Background
2011-08-18 10:19:13.733,0.000,UDP,147.32.85.25,34984,147.32.80.9,53,,INT,0,1,79,Background
2011-08-18 10:19:13.734,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:34984,INT,0,129,Background
2011-08-18 10:19:13.734,0.000,UDP,147.32.85.25,48437,147.32.80.9,53,,INT,0,1,66,Background
2011-08-18 10:19:13.734,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:48437,INT,0,141,Background
2011-08-18 10:19:13.737,0.418,UDP,147.32.84.229,13363,192.166.145.21,1708,INT,0,2,196,1,Background
2011-08-18 10:19:13.745,0.199,TCP,147.32.84.59,49324,62.44.1.24,80,,PA_,0,2,683,Background
2011-08-18 10:19:13.746,0.000,TCP,62.44.1.24,80,,0,->,147.32.84.59:49324,PA_,0,174,Background
2011-08-18 10:19:13.748,0.497,TCP,147.32.86.223,38666,89.221.217.12,1935,SRPA_,0,9,4201,1,Background
2011-08-18 10:19:13.748,0.314,TCP,89.221.217.12,1935,147.32.86.223,38666,SPA_,0,8,3855,1,Background
2011-08-18 10:19:13.749,0.000,UDP,86.100.133.199,61178,147.32.84.229,13363,INT,0,1,74,1,Background
2011-08-18 10:19:13.750,0.000,UDP,147.32.84.229,13363,86.100.133.199,61178,INT,0,1,481,1,Background
2011-08-18 10:19:13.753,0.000,UDP,58.8.226.198,25410,147.32.84.229,13363,INT,0,1,77,1,Background
2011-08-18 10:19:13.754,0.000,UDP,147.32.84.229,13363,58.8.226.198,25410,INT,0,1,60,1,Background
2011-08-18 10:19:13.761,3.251,TCP,194.108.204.22,48748,147.32.84.138,8080,PA_,0,9,4858,1,Background
2011-08-18 10:19:13.761,0.000,UDP,68.51.197.191,21348,147.32.84.229,13363,INT,0,1,60,1,Background
2011-08-18 10:19:13.762,3.221,TCP,147.32.84.138,8080,194.108.204.22,48748,PA_,0,5,2638,1,Background
2011-08-18 10:19:13.770,0.000,UDP,147.32.85.25,44131,147.32.80.9,53,,INT,0,1,79,Background
2011-08-18 10:19:13.770,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:44131,INT,0,129,Background
2011-08-18 10:19:13.770,0.000,UDP,147.32.85.25,37673,147.32.80.9,53,,INT,0,1,66,Background
2011-08-18 10:19:13.770,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:37673,INT,0,141,Background
2011-08-18 10:19:13.772,0.000,UDP,223.205.214.227,10029,147.32.84.59,43087,INT,0,1,62,1,Background
2011-08-18 10:19:13.773,0.000,UDP,147.32.85.25,43683,147.32.80.9,53,,INT,0,1,79,Background
2011-08-18 10:19:13.773,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:43683,INT,0,129,Background
2011-08-18 10:19:13.773,0.000,UDP,147.32.85.25,40665,147.32.80.9,53,,INT,0,1,66,Background
2011-08-18 10:19:13.774,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:40665,INT,0,141,Background
2011-08-18 10:19:13.781,0.000,UDP,147.32.86.223,49824,147.32.80.9,53,,INT,0,1,77,Background
2011-08-18 10:19:13.782,0.000,UDP,147.32.80.9,53,,0,->,147.32.86.223:49824,INT,0,127,Background
2011-08-18 10:19:13.806,0.000,UDP,147.32.85.25,38372,147.32.80.9,53,,INT,0,1,86,Background
2011-08-18 10:19:13.806,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:38372,INT,0,240,Background
2011-08-18 10:19:13.809,0.000,UDP,147.32.85.25,44338,147.32.80.9,53,,INT,0,1,79,Background
2011-08-18 10:19:13.809,0.000,UDP,147.32.85.25,50523,147.32.80.9,53,,INT,0,1,74,Background
2011-08-18 10:19:13.809,0.000,UDP,147.32.85.25,50523,147.32.80.9,53,,INT,0,1,74,Background
2011-08-18 10:19:13.810,0.000,UDP,98.244.73.136,4027,147.32.84.229,13363,INT,0,1,81,1,Background
2011-08-18 10:19:13.810,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:44338,INT,0,129,Background
2011-08-18 10:19:13.810,0.000,UDP,147.32.85.25,54650,147.32.80.9,53,,INT,0,1,66,Background
2011-08-18 10:19:13.810,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:50523,INT,0,456,Background
2011-08-18 10:19:13.810,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:50523,INT,0,460,Background
2011-08-18 10:19:13.810,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.25:54650,INT,0,141,Background
2011-08-18 10:19:13.810,0.000,UDP,147.32.84.229,13363,98.244.73.136,4027,INT,0,1,60,1,Background
2011-08-18 10:19:13.820,4.826,TCP,147.32.97.253,56699,147.32.84.8,22,,PA_,0,14,1208,Background
2011-08-18 10:19:13.823,1.160,TCP,147.32.84.229,443,130.192.181.149,43106,PA_,0,6,379,1,Background
2011-08-18 10:19:13.830,4.824,TCP,147.32.84.8,22,,0,->,147.32.97.253:56699,PA_,0,1040,Background
2011-08-18 10:19:13.831,0.000,UDP,113.65.40.102,62463,147.32.84.229,13363,INT,0,1,75,1,Background
2011-08-18 10:19:13.832,0.000,UDP,147.32.84.229,13363,113.65.40.102,62463,INT,0,1,60,1,Background
2011-08-18 10:19:13.836,4.461,TCP,195.250.146.6,554,147.32.84.59,49340,PA_,0,65,93405,1,Background
2011-08-18 10:19:13.837,4.461,TCP,147.32.84.59,49340,195.250.146.6,554,A_,0,21,1260,1,Background
2011-08-18 10:19:13.847,0.000,TCP,74.125.232.215,443,147.32.86.110,53538,PA_,0,1,119,1,Background
2011-08-18 10:19:13.848,0.000,TCP,147.32.86.110,53538,74.125.232.215,443,A_,0,1,66,1,LEGITIMATE
2011-08-18 10:19:13.853,4.502,RTP,178.200.203.145,7300,147.32.84.94,7103,INT,3,9,702,1,Background
2011-08-18 10:19:13.857,0.000,TCP,78.128.194.184,1194,147.32.84.68,52948,PA_,0,1,125,1,Background
2011-08-18 10:19:13.858,0.174,TCP,147.32.84.59,37578,74.125.232.215,443,PA_,0,5,559,1,LEGITIMATE
2011-08-18 10:19:13.866,0.166,TCP,74.125.232.215,443,147.32.84.59,37578,PA_,0,5,601,1,Background
2011-08-18 10:19:13.867,0.000,TCP,77.246.52.166,2400,147.32.84.229,443,A_,0,1,60,1,Background
2011-08-18 10:19:13.868,0.000,TCP,77.246.52.166,2398,147.32.84.229,13363,R_,0,1,60,1,Background
2011-08-18 10:19:13.877,4.809,TCP,78.80.14.227,22,,0,->,147.32.84.3:41343,PA_,0,1938,Background
2011-08-18 10:19:13.877,4.809,TCP,147.32.84.3,41343,78.80.14.227,22,,PA_,0,17,1170,Background
2011-08-18 10:19:13.889,0.000,UDP,109.164.3.183,51010,147.32.84.229,13363,INT,0,1,178,1,Background
2011-08-18 10:19:13.889,0.262,TCP,147.32.84.229,13363,85.70.149.37,3360,PA_,0,3,297,1,Background
2011-08-18 10:19:13.916,0.000,UDP,141.156.150.237,7236,147.32.84.229,13363,INT,0,1,78,1,Background
2011-08-18 10:19:13.917,0.000,UDP,147.32.84.229,13363,141.156.150.237,7236,INT,0,2,390,1,Background
2011-08-18 10:19:13.931,0.061,TCP,85.70.149.37,3360,147.32.84.229,13363,PA_,0,3,231,1,Background
2011-08-18 10:19:13.934,0.731,TCP,82.199.111.22,51332,147.32.84.229,443,PA_,0,2,120,1,Background
2011-08-18 10:19:13.938,0.000,UDP,46.191.167.153,11190,147.32.84.229,13363,INT,0,1,197,1,Background
2011-08-18 10:19:13.939,0.759,TCP,147.32.84.229,443,195.239.66.250,50973,PA_,0,4,342,1,Background
2011-08-18 10:19:13.957,0.128,TCP,147.32.85.34,143,194.108.204.19,35149,PA_,0,5,659,1,Background
2011-08-18 10:19:13.962,0.000,ARP,147.32.87.52,0,,0,->,147.32.87.49,,INT,1,Background
2011-08-18 10:19:13.963,0.000,ARP,147.32.87.49,0,,0,->,147.32.87.52,,INT,1,Background
2011-08-18 10:19:13.977,4.103,UDP,67.160.121.194,16673,147.32.84.59,43087,INT,0,2,124,1,Background
2011-08-18 10:19:13.979,1.459,UDP,126.170.234.66,59387,147.32.84.229,13363,INT,0,2,930,1,Background
2011-08-18 10:19:13.979,0.000,UDP,114.26.174.109,31056,147.32.84.229,13363,INT,0,1,60,1,Background
2011-08-18 10:19:13.981,1.457,UDP,147.32.84.229,13363,126.170.234.66,59387,INT,0,2,120,1,Background
2011-08-18 10:19:13.981,4.700,UDP,147.32.84.229,13363,95.52.90.246,53185,INT,0,4,1096,1,Background
2011-08-18 10:19:13.981,4.028,UDP,147.32.84.229,13363,78.84.137.106,30657,INT,0,2,932,1,Background
2011-08-18 10:19:13.981,4.028,UDP,147.32.84.229,13363,116.255.12.184,55584,INT,0,2,932,1,Background
2011-08-18 10:19:13.981,4.027,UDP,147.32.84.229,13363,24.247.253.8,34092,INT,0,2,932,1,Background
2011-08-18 10:19:13.987,0.168,TCP,194.108.204.19,35149,147.32.85.34,143,PA_,0,6,576,1,Background
2011-08-18 10:19:13.993,0.000,UDP,83.11.238.15,49910,147.32.86.239,161,INT,0,1,120,1,Background
2011-08-18 10:19:13.994,0.000,UDP,147.32.84.229,13363,109.164.3.183,51010,INT,0,1,83,1,Background
2011-08-18 10:19:14.005,0.008,TCP,62.24.66.210,36590,147.32.84.229,443,PA_,0,2,554,1,Background
2011-08-18 10:19:14.005,0.000,TCP,147.32.84.229,443,62.24.66.210,36590,PA_,0,1,70,1,Background
2011-08-18 10:19:14.006,0.000,UDP,178.90.23.47,38242,147.32.84.229,13363,INT,0,1,75,1,Background
2011-08-18 10:19:14.006,0.000,UDP,147.32.84.229,13363,178.90.23.47,38242,INT,0,1,60,1,Background
2011-08-18 10:19:14.009,0.000,TCP,147.32.86.165,49959,94.100.187.194,80,FA_,0,1,60,1,Background
2011-08-18 10:19:14.010,2.144,TCP,147.32.86.165,49980,94.100.187.194,80,SPA_,0,5,733,1,Background
2011-08-18 10:19:14.010,0.000,UDP,147.32.85.89,32819,147.32.80.9,53,,INT,0,1,77,Background
2011-08-18 10:19:14.010,0.000,UDP,147.32.80.9,53,,0,->,147.32.85.89:32819,INT,0,127,Background
2011-08-18 10:19:14.032,0.000,UDP,147.32.84.138,38548,147.32.80.9,53,,INT,0,1,81,Background
