Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label,Attack_Type
10.0.0.14-10.0.0.254-45301-1883-6,10.0.0.14,45301,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998796,45,45,906.0,4.0,22.0,0.0,20.133333333333336,6.051295879246181,2.0,0.0,0.0888888888888888,0.4168181542799854,7.5834094202078495,0.7500075250755016,1348301.0786516853,1468118.2803441964,3003152.0,9.0,119998695.0,2727243.068181819,758103.0907502851,3003215.0,1509.0,119998773.0,2727244.840909091,753098.5393315095,3003167.0,87.0,1,0,0,0,1440,1440,0.3750037625377508,0.3750037625377508,0.0,22.0,10.24175824175824,10.95378235977637,119.985347985348,0,0,0,45,90,0,0,0,1.0,10.355555555555556,20.133333333333333,0.0888888888888888,0,0,0,0,0,0,1,22,1,0,502,64,42,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign Traffic,0,Benign Traffic
10.0.0.14-10.0.0.254-36273-1883-6,10.0.0.14,36273,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998162,45,45,906.0,4.0,22.0,0.0,20.133333333333336,6.051295879246181,2.0,0.0,0.0888888888888888,0.4168181542799854,7.583449486501302,0.7500114876759529,1348293.9550561798,1468084.628942101,3003215.0,11.0,119998069.0,2727228.840909091,757946.0141061757,3003235.0,2209.0,119998130.0,2727230.2272727275,752996.9874075401,3003227.0,60.0,1,0,0,0,1440,1440,0.3750057438379764,0.3750057438379764,0.0,22.0,10.24175824175824,10.95378235977637,119.985347985348,0,0,0,45,90,0,0,0,1.0,10.355555555555556,20.133333333333333,0.0888888888888888,0,0,0,0,0,0,1,22,1,0,502,64,42,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign Traffic,0,Benign Traffic
47.254.41.205-192.168.137.172-1883-53355-6,47.254.41.205,1883,192.168.137.172,53355,6,14/09/2023 09:24:15 AM,115951567,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535959112997585,2898789.175,3994483.6489827903,15627185.0,12271.0,115951567.0,2898789.175,3994483.6489827903,15627185.0,12271.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,820,0,0.3535959112997585,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,65392,0,0,20,3582230.0,5028578.682803422,12393697.0,87968.0,9301277.444444444,3646310.713757678,15627185.0,6083787.0,Benign Traffic,0,Benign Traffic
10.0.0.6-10.0.0.254-38889-1883-6,10.0.0.6,38889,10.0.0.254,1883,6,14/09/2023 09:24:20 AM,110004598,16,16,178.0,4.0,15.0,0.0,11.124999999999998,6.075908711186062,2.0,0.0,0.25,0.6831300510639732,1.6544762974362217,0.2908969314173577,3548535.419354839,4732781.855771675,10007199.0,14.0,110004499.0,7333633.266666667,4286455.869930483,10007284.0,2188.0,110004513.0,7333634.2,4274363.704148477,10007277.0,69.0,1,0,0,0,512,512,0.1454484657086788,0.1454484657086788,0.0,15.0,5.969696969696969,7.051085237770356,49.71780303030304,0,0,0,16,32,0,0,0,1.0,6.15625,11.125,0.25,0,0,0,0,0,0,1,14,1,0,502,64,13,32,189916.36363636365,422424.1086046753,1046188.0,14.0,9810492.636363637,402626.8271661172,10007199.0,8996229.0,Benign Traffic,0,Benign Traffic
10.0.0.9-10.0.0.254-35169-1883-6,10.0.0.9,35169,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998738,29,29,623.0,4.0,25.0,0.0,21.48275862068965,8.356437593920255,2.0,0.0,0.1379310344827586,0.5157614295551275,5.225054950161225,0.4833384164423462,2105241.01754386,2429142.8737680186,5005112.0,10.0,119998718.0,4285668.5,1606197.797758801,5005199.0,2588.0,119998697.0,4285667.749999999,1598446.207944305,5005136.0,49.0,1,0,0,0,928,928,0.2416692082211731,0.2416692082211731,0.0,25.0,11.050847457627118,12.29441102179691,151.15254237288133,0,0,0,29,58,0,0,0,1.0,11.241379310344827,21.48275862068965,0.1379310344827586,0,0,0,0,0,0,1,24,1,0,502,64,26,32,4498284.199999999,5501165.72099233,14999615.0,17.0,5001950.5,1664.9499325137738,5005112.0,5000123.0,Benign Traffic,0,Benign Traffic
10.0.0.6-10.0.0.254-43231-1883-6,10.0.0.6,43231,10.0.0.254,1883,6,14/09/2023 09:24:20 AM,110003962,16,16,179.0,4.0,15.0,0.0,11.187499999999998,6.112487218800543,2.0,0.0,0.25,0.6831300510639732,1.6635764446375123,0.2908986132699475,3548514.903225807,4732910.542011525,10007586.0,11.0,110003926.0,7333595.066666667,4287416.20431356,10007599.0,1440.0,110003949.0,7333596.6,4274711.886571552,10007619.0,95.0,1,0,0,0,512,512,0.1454493066349737,0.1454493066349737,0.0,15.0,5.969696969696971,7.051085237770354,49.71780303030302,0,0,0,16,32,0,0,0,1.0,6.15625,11.1875,0.25,0,0,0,0,0,0,1,16,1,0,502,64,13,32,189587.45454545453,421727.86266320216,1042909.0,11.0,9810769.454545457,400627.37323761656,10007586.0,9000586.0,Benign Traffic,0,Benign Traffic
10.0.0.8-10.0.0.254-35299-1883-6,10.0.0.8,35299,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998199,29,29,443.0,4.0,18.0,0.0,15.275862068965518,5.84866621989357,2.0,0.0,0.1379310344827586,0.5157614295551275,3.725055906880736,0.4833405874699836,2105231.561403509,2429335.224434469,5004819.0,11.0,119998134.0,4285647.642857142,1606620.406452031,5004880.0,1500.0,119998176.0,4285649.142857144,1598995.2135091475,5004848.0,77.0,1,0,0,0,928,928,0.2416702937349918,0.2416702937349918,0.0,18.0,7.881355932203388,8.7021296358256,75.72706019871418,0,0,0,29,58,0,0,0,1.0,8.017241379310345,15.275862068965518,0.1379310344827586,0,0,0,0,0,0,1,18,1,0,502,64,26,32,6997510.5,7887576.522885654,24997566.0,17.0,5002302.899999999,1615.4044866705908,5004819.0,5000039.0,Benign Traffic,0,Benign Traffic
10.0.0.8-10.0.0.254-43245-1883-6,10.0.0.8,43245,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998568,29,29,445.0,4.0,18.0,0.0,15.344827586206891,5.869265359656945,2.0,0.0,0.1379310344827586,0.5157614295551275,3.7417113177550574,0.4833391011799407,2105238.035087719,2429266.722578338,5004857.0,11.0,119998545.0,4285662.321428571,1606520.561949818,5004901.0,1861.0,119998505.0,4285660.892857143,1598783.2464672148,5004961.0,54.0,1,0,0,0,928,928,0.2416695505899703,0.2416695505899703,0.0,18.0,7.915254237288138,8.73812126811696,76.35476329631793,0,0,0,29,58,0,0,0,1.0,8.051724137931034,15.344827586206897,0.1379310344827586,0,0,0,0,0,0,1,18,1,0,502,64,26,32,8331465.11111111,8291109.109065693,19999887.0,17.0,5001706.555555556,1755.8366318589046,5004857.0,5000124.0,Benign Traffic,0,Benign Traffic
10.0.0.9-10.0.0.254-33441-1883-6,10.0.0.9,33441,10.0.0.254,1883,6,14/09/2023 09:24:15 AM,119998075,29,29,626.0,4.0,25.0,0.0,21.58620689655173,8.394374142327665,2.0,0.0,0.1379310344827586,0.5157614295551275,5.250084220101031,0.4833410869299361,2105229.385964913,2429373.569776379,5004787.0,11.0,119998056.0,4285644.857142857,1606479.6986335546,5004812.0,1741.0,119998057.0,4285644.892857144,1599049.0724774718,5004851.0,109.0,1,0,0,0,928,928,0.241670543464968,0.241670543464968,0.0,25.0,11.101694915254235,12.350757222708411,152.54120397428403,0,0,0,29,58,0,0,0,1.0,11.29310344827586,21.58620689655172,0.1379310344827586,0,0,0,0,0,0,1,26,1,0,502,64,26,32,5553509.333333333,6820445.3958900105,20000021.0,11.0,5002133.555555556,1775.312585934782,5004787.0,5000236.0,Benign Traffic,0,Benign Traffic
34.66.16.188-192.168.137.234-443-33262-6,34.66.16.188,443,192.168.137.234,33262,6,14/09/2023 09:24:24 AM,90238433,4,0,656.0,0.0,164.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,7.269629781802616,0.0443270108646501,30079477.666666668,3451.0255480557275,30083123.0,30076261.0,90238433.0,30079477.666666668,3451.0255480557275,30083123.0,30076261.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,128,0,0.0443270108646501,0.0,164.0,164.0,164.0,0.0,0.0,0,0,0,4,4,0,0,0,0.0,205.0,164.0,0.0,0,0,0,0,0,0,1,218,0,0,3106,0,3,32,0.0,0.0,0.0,0.0,30079477.666666668,3451.0255480557275,30083123.0,30076261.0,Benign Traffic,0,Benign Traffic
35.161.158.54-192.168.137.241-8886-40196-6,35.161.158.54,8886,192.168.137.241,40196,6,14/09/2023 09:24:25 AM,60115842,2,0,138.0,0.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,2.295567946964795,0.0332691006806492,60115842.0,0.0,60115842.0,60115842.0,60115842.0,60115842.0,0.0,60115842.0,60115842.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,0.0332691006806492,0.0,69.0,69.0,69.0,0.0,0.0,0,0,0,2,2,0,0,0,0.0,103.5,69.0,0.0,0,0,0,0,0,0,2,138,0,0,65535,0,1,20,0.0,0.0,0.0,0.0,60115842.0,0.0,60115842.0,60115842.0,Benign Traffic,0,Benign Traffic
54.188.99.4-192.168.137.211-8883-40992-6,54.188.99.4,8883,192.168.137.211,40992,6,14/09/2023 09:24:16 AM,110069607,8,0,138.0,0.0,69.0,0.0,17.25,31.940793442153023,0.0,0.0,0.0,0.0,1.253752091619624,0.0726812806736013,15724229.57142857,9191450.364170589,22527012.0,1889503.0,110069607.0,15724229.57142857,9191450.364170589,22527012.0,1889503.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,256,0,0.0726812806736013,0.0,0.0,69.0,15.333333333333334,30.426140077242792,925.75,0,0,0,2,8,0,0,0,0.0,17.25,17.25,0.0,0,0,0,0,0,0,1,19,0,0,27,0,2,32,3036988.0,0.0,3036988.0,3036988.0,21028623.2,1860634.431447161,22527012.0,18576262.0,Benign Traffic,0,Benign Traffic
173.194.194.206-192.168.137.234-443-41262-6,173.194.194.206,443,192.168.137.234,41262,6,14/09/2023 09:24:25 AM,109895743,11,0,96.0,0.0,24.0,0.0,8.727272727272727,12.108599498628312,0.0,0.0,0.0,0.0,0.8735552204237793,0.1000948690068913,10989574.3,5248683.591073184,15065695.0,4874553.0,109895743.0,10989574.3,5248683.591073184,15065695.0,4874553.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,352,0,0.1000948690068913,0.0,0.0,24.0,8.0,11.816783134015942,139.63636363636363,0,0,0,4,11,0,0,0,0.0,8.727272727272727,8.727272727272727,0.0,0,0,0,0,0,0,1,9,0,0,1030,0,4,32,4895427.666666667,26703.810539571565,4925519.0,4874553.0,15055172.166666666,6029.878022536414,15065695.0,15048374.0,Benign Traffic,0,Benign Traffic
18.213.53.246-192.168.137.127-443-37828-6,18.213.53.246,443,192.168.137.127,37828,6,14/09/2023 09:24:30 AM,105886721,17,0,345.0,0.0,69.0,0.0,20.294117647058822,32.40710706365649,0.0,0.0,0.0,0.0,3.2581989199571115,0.1605489322877417,6617920.062500001,7852298.066751818,20482633.0,195.0,105886721.0,6617920.062500001,7852298.066751818,20482633.0,195.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,340,0,0.1605489322877417,0.0,0.0,69.0,19.166666666666668,31.80131332841089,1011.3235294117644,0,0,0,5,17,0,0,0,0.0,20.294117647058822,20.294117647058822,0.0,0,0,0,0,0,0,1,38,0,0,46096,0,5,20,3211967.5,2207417.7064435114,5005236.0,33693.0,15506475.166666668,5202735.666784251,20482633.0,6374029.0,Benign Traffic,0,Benign Traffic
34.173.20.6-192.168.137.234-443-58648-6,34.173.20.6,443,192.168.137.234,58648,6,14/09/2023 09:25:41 AM,60119467,18,0,4135.0,0.0,1408.0,0.0,229.72222222222223,490.4605045627504,0.0,0.0,0.0,0.0,68.77971822338345,0.2994038520002182,3536439.235294118,6531629.319480835,15060076.0,1.0,60119467.0,3536439.235294118,6531629.319480835,15060076.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,584,0,0.2994038520002182,0.0,0.0,1408.0,217.63157894736844,479.5466853100049,229965.0233918129,1,1,1,7,18,0,0,0,0.0,229.72222222222223,229.72222222222223,0.0,0,0,0,4072,6,56614,4,1033,0,0,43648,0,8,32,221142.0,0.0,221142.0,221142.0,14958915.25,188656.5483753921,15060076.0,14676028.0,Benign Traffic,0,Benign Traffic
173.194.194.206-192.168.137.234-8883-46068-6,173.194.194.206,8883,192.168.137.234,46068,6,14/09/2023 09:24:44 AM,60111888,2,0,62.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,1.031409960039851,0.0332712890335435,60111888.0,0.0,60111888.0,60111888.0,60111888.0,60111888.0,0.0,60111888.0,60111888.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,0.0332712890335435,0.0,31.0,31.0,31.0,0.0,0.0,0,0,0,2,2,0,0,0,0.0,46.5,31.0,0.0,0,0,0,0,0,0,2,62,0,0,265,0,1,32,0.0,0.0,0.0,0.0,60111888.0,0.0,60111888.0,60111888.0,Benign Traffic,0,Benign Traffic
10.0.0.4-10.0.0.254-43341-1883-6,10.0.0.4,43341,10.0.0.254,1883,6,14/09/2023 09:24:30 AM,119997965,9,9,76.0,4.0,15.0,0.0,8.444444444444443,7.108289370712041,2.0,0.0,0.4444444444444444,0.8819171036881969,0.6666779724139489,0.1500025437931385,7058703.823529412,12824599.812460288,29960037.0,11.0,119997933.0,14999741.625,15508990.529961424,30002735.0,2224.0,119997933.0,14999741.625000002,15486432.713216033,29960069.0,42.0,1,0,0,0,288,288,0.0750012718965692,0.0750012718965692,0.0,15.0,5.0,6.683312551921141,44.66666666666666,0,0,0,9,18,0,0,0,1.0,5.277777777777778,8.444444444444445,0.4444444444444444,0,0,0,0,0,0,1,15,1,0,502,64,6,32,522269.0,603041.5616373386,1046462.0,11.0,29477214.25,556631.0683695714,29960037.0,28994739.0,Benign Traffic,0,Benign Traffic
10.0.0.1-10.0.0.254-43051-1883-6,10.0.0.1,43051,10.0.0.254,1883,6,14/09/2023 09:24:30 AM,119998201,9,9,259.0,4.0,52.0,0.0,28.77777777777778,26.366540244113267,2.0,0.0,0.4444444444444444,0.8819171036881969,2.1916995238953625,0.150002248783713,7058717.705882352,12824868.992514849,29958612.0,11.0,119998164.0,14999770.499999998,15509664.756696222,30001268.0,1845.0,119998182.0,14999772.75,15486917.043091988,29958623.0,40.0,1,0,0,0,288,288,0.0750011243918565,0.0750011243918565,0.0,52.0,16.52631578947368,24.077117816283188,579.7076023391813,0,0,0,9,18,0,0,0,1.0,17.444444444444443,28.77777777777778,0.4444444444444444,0,0,0,0,0,0,2,64,2,1,502,64,6,32,521790.0,602494.3570916937,1044500.0,11.0,29477751.0,553636.0490833911,29958612.0,28997005.0,Benign Traffic,0,Benign Traffic
10.0.0.11-10.0.0.254-40571-1883-6,10.0.0.11,40571,10.0.0.254,1883,6,14/09/2023 09:24:59 AM,119998601,6,6,19.0,6.0,13.0,0.0,3.1666666666666665,4.915960401250875,2.0,0.0,1.0,1.095445115010332,0.2083357621810941,0.1000011658469251,10908963.727272728,24014643.27984101,59997604.0,22.0,119998473.0,23999694.6,32409095.17165063,59997604.0,2160.0,119998579.0,23999715.8,32390277.660332024,59999801.0,44.0,1,0,0,0,192,192,0.0500005829234625,0.0500005829234625,0.0,13.0,2.0769230769230766,3.426892140641392,11.743589743589745,0,0,0,7,12,0,0,0,1.0,2.25,3.1666666666666665,1.0,0,0,0,0,0,0,3,9,3,3,502,64,3,32,524266.5,738370.0933031484,1046373.0,2160.0,59474970.0,739116.0909573002,59997604.0,58952336.0,Benign Traffic,0,Benign Traffic
