Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,label,attackType,attackID,attackDescription
2017-08-02 00:00:12.979,    0.002,TCP  ,192.168.220.44, 46342,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:12.980,    0.000,TCP  ,192.168.100.11,   445,192.168.220.44, 46342,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:15.693,    0.000,TCP  ,192.168.100.11,   445,192.168.210.50, 50944,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:15.691,    0.003,TCP  ,192.168.210.50, 50944,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:20.454,    0.000,TCP  ,192.168.100.11,   445,192.168.220.44, 46342,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:20.455,    0.000,TCP  ,192.168.220.44, 46342,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:00:20.322,    0.003,TCP  ,192.168.220.48, 57479,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:20.323,    0.000,TCP  ,192.168.100.11,   445,192.168.220.48, 57479,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:20.454,    0.000,TCP  ,192.168.100.11,   445,192.168.220.44, 46342,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:20.455,    0.000,TCP  ,192.168.220.44, 46342,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:00:20.321,    0.004,TCP  ,192.168.220.48, 57479,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:21.661,    0.000,TCP  ,192.168.100.11,   445,192.168.210.56, 39662,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:21.660,    0.002,TCP  ,192.168.210.56, 39662,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:23.441,    0.000,UDP  ,DNS,    53,192.168.210.54, 51639,       1,     169,    1,......,  0,normal,---,---,---
2017-08-02 00:00:23.441,    0.000,UDP  ,DNS,    53,192.168.210.54, 64400,       1,     169,    1,......,  0,normal,---,---,---
2017-08-02 00:00:23.457,    0.065,TCP  ,10001_213,   443,192.168.210.54, 59631,       6,     930,    1,.AP.S.,  0,normal,---,---,---
2017-08-02 00:00:23.409,    0.000,UDP  ,192.168.210.54, 51639,DNS,    53,       1,      75,    1,......,  0,normal,---,---,---
2017-08-02 00:00:23.409,    0.000,UDP  ,192.168.210.54, 64400,DNS,    53,       1,      75,    1,......,  0,normal,---,---,---
2017-08-02 00:00:23.443,    0.079,TCP  ,192.168.210.54, 59631,10001_213,   443,       6,    1450,    1,.AP.S.,  0,normal,---,---,---
2017-08-02 00:00:25.593,    0.000,TCP  ,192.168.100.11,   445,192.168.210.45, 54780,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:25.592,    0.002,TCP  ,192.168.210.45, 54780,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:25.843,    0.000,TCP  ,192.168.100.11,   445,192.168.220.50, 40784,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:25.842,    0.002,TCP  ,192.168.220.50, 40784,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:28.943,    0.000,UDP  ,192.168.220.46,   138,192.168.220.255,   138,       1,     262,    1,......,  0,normal,---,---,---
2017-08-02 00:00:33.536,    0.000,TCP  ,10001_213,   443,192.168.210.54, 59631,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:00:33.521,    0.000,TCP  ,192.168.210.54, 59631,10001_213,   443,       1,      55,    1,.A....,  0,normal,---,---,---
2017-08-02 00:00:34.360,    0.006,TCP  ,192.168.210.47, 53456,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:34.363,    0.000,TCP  ,192.168.100.11,   445,192.168.210.47, 53456,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:34.969,    0.002,TCP  ,192.168.210.48, 32969,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:34.970,    0.000,TCP  ,192.168.100.11,   445,192.168.210.48, 32969,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:45.548,    0.000,TCP  ,192.168.220.48, 57479,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:00:45.547,    0.000,TCP  ,192.168.100.11,   445,192.168.220.48, 57479,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:50.956,    0.000,TCP  ,192.168.100.11,   445,192.168.220.49, 48306,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:50.955,    0.003,TCP  ,192.168.220.49, 48306,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:52.592,    0.000,TCP  ,192.168.100.11,   445,192.168.210.49, 35779,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:52.591,    0.002,TCP  ,192.168.210.49, 35779,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:53.310,    0.000,TCP  ,192.168.100.11,   445,192.168.210.45, 54780,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:53.311,    0.000,TCP  ,192.168.210.45, 54780,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:00:53.781,    0.000,UDP  ,192.168.210.56,   138,192.168.210.255,   138,       1,     262,    1,......,  0,normal,---,---,---
2017-08-02 00:00:58.871,    0.000,TCP  ,10002_174,   443,192.168.210.54, 59627,       1,     100,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:58.869,    0.000,TCP  ,192.168.100.11,   445,192.168.220.45, 32829,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:58.868,    0.002,TCP  ,192.168.220.45, 32829,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:00:58.857,    0.212,TCP  ,192.168.210.54, 59627,10002_174,   443,       2,     154,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:00.158,    0.000,TCP  ,192.168.100.11,   445,192.168.220.51, 37901,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:00.157,    0.003,TCP  ,192.168.220.51, 37901,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:00.581,    0.000,TCP  ,192.168.100.11,   445,192.168.210.55, 44870,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:00.580,    0.000,TCP  ,192.168.210.55, 44870,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:01.873,    0.000,TCP  ,10000_34,   443,192.168.210.54, 59628,       1,     100,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:01.861,    0.216,TCP  ,192.168.210.54, 59628,10000_34,   443,       2,     154,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:02.755,    0.000,TCP  ,192.168.100.11,   445,192.168.220.47, 55101,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:02.754,    0.003,TCP  ,192.168.220.47, 55101,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:03.041,    0.289,TCP  ,10002_174,   443,192.168.210.54, 59627,       4,     216,    1,.A...F,  0,normal,---,---,---
2017-08-02 00:01:03.023,    0.311,TCP  ,192.168.210.54, 59627,10002_174,   443,       4,     293,    1,.AP..F,  0,normal,---,---,---
2017-08-02 00:01:03.731,    0.000,TCP  ,192.168.100.11,   445,192.168.220.42, 58001,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:03.729,    0.006,TCP  ,192.168.220.42, 58001,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:04.353,    0.001,TCP  ,192.168.220.46, 49770,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:04.354,    0.000,TCP  ,192.168.100.11,   445,192.168.220.46, 49770,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:05.167,    0.000,UDP  ,192.168.100.20,   137,192.168.100.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:01:05.040,    0.321,TCP  ,10000_34,   443,192.168.210.54, 59628,       4,     216,    1,.A...F,  0,normal,---,---,---
2017-08-02 00:01:05.026,    0.335,TCP  ,192.168.210.54, 59628,10000_34,   443,       4,     293,    1,.AP..F,  0,normal,---,---,---
2017-08-02 00:01:08.986,    0.000,UDP  ,192.168.220.46,   137,192.168.220.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:01:08.985,    0.000,UDP  ,192.168.220.42,   137,192.168.220.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:01:10.419,    0.000,TCP  ,192.168.100.11,   445,192.168.210.46, 34137,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:10.417,    0.005,TCP  ,192.168.210.46, 34137,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:10.953,    0.000,TCP  ,192.168.100.11,   445,192.168.220.43, 51099,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:10.933,    0.000,UDP  ,DNS,    53,192.168.210.54, 57433,       1,     227,    1,......,  0,normal,---,---,---
2017-08-02 00:01:10.950,    0.036,TCP  ,10003_235,    80,192.168.210.54, 59632,       7,    8583,    1,.AP.SF,  0,normal,---,---,---
2017-08-02 00:01:10.952,    0.002,TCP  ,192.168.220.43, 51099,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:10.918,    0.000,UDP  ,192.168.210.54, 57433,DNS,    53,       1,      89,    1,......,  0,normal,---,---,---
2017-08-02 00:01:10.937,    0.000,TCP  ,192.168.210.54, 59630,10003_235,    80,       1,      54,    1,.A.R..,  0,normal,---,---,---
2017-08-02 00:01:10.937,    0.033,TCP  ,192.168.210.54, 59632,10003_235,    80,       7,     736,    1,.AP.SF,  0,normal,---,---,---
2017-08-02 00:01:11.352,    0.018,TCP  ,10003_235,    80,192.168.210.54, 59633,       3,     483,    1,.AP.S.,  0,normal,---,---,---
2017-08-02 00:01:11.338,    0.232,TCP  ,192.168.210.54, 59633,10003_235,    80,       4,     492,    1,.AP.S.,  0,normal,---,---,---
2017-08-02 00:01:13.141,    0.000,TCP  ,192.168.100.11,   445,192.168.220.44, 46342,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:13.140,    0.001,TCP  ,192.168.220.44, 46342,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:13.596,    0.000,TCP  ,10001_213,   443,192.168.210.54, 59631,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:01:13.582,    0.000,TCP  ,192.168.210.54, 59631,10001_213,   443,       1,      55,    1,.A....,  0,normal,---,---,---
2017-08-02 00:01:15.853,    0.000,TCP  ,192.168.100.11,   445,192.168.210.50, 50944,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:15.852,    0.002,TCP  ,192.168.210.50, 50944,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:20.097,    0.000,TCP  ,192.168.100.11,   445,192.168.220.51, 37901,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:20.098,    0.000,TCP  ,192.168.220.51, 37901,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:01:20.483,    0.000,TCP  ,192.168.100.11,   445,192.168.220.48, 57479,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:20.482,    0.003,TCP  ,192.168.220.48, 57479,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:21.822,    0.000,TCP  ,192.168.100.11,   445,192.168.210.56, 39662,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:21.821,    0.001,TCP  ,192.168.210.56, 39662,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:25.753,    0.000,TCP  ,192.168.100.11,   445,192.168.210.45, 54780,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:25.752,    0.001,TCP  ,192.168.210.45, 54780,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:25.952,    0.000,TCP  ,192.168.100.11,   445,192.168.220.43, 51099,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:26.004,    0.000,TCP  ,192.168.100.11,   445,192.168.220.50, 40784,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:25.952,    0.000,TCP  ,192.168.220.43, 51099,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:01:26.003,    0.003,TCP  ,192.168.220.50, 40784,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:32.338,    0.244,UDP  ,192.168.210.57,  1900,10004_250,  1900,       6,    3139,    1,......,  0,normal,---,---,---
2017-08-02 00:01:33.823,    0.000,UDP  ,192.168.210.48,   137,192.168.210.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:01:34.521,    0.004,TCP  ,192.168.210.47, 53456,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:34.524,    0.000,TCP  ,192.168.100.11,   445,192.168.210.47, 53456,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:35.130,    0.000,TCP  ,192.168.100.11,   445,192.168.210.48, 32969,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:35.129,    0.002,TCP  ,192.168.210.48, 32969,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:35.195,    0.000,UDP  ,192.168.100.14,   138,192.168.100.255,   138,       1,     262,    1,......,  0,normal,---,---,---
2017-08-02 00:01:35.196,    0.000,UDP  ,192.168.100.20,   138,192.168.100.255,   138,       1,     262,    1,......,  0,normal,---,---,---
2017-08-02 00:01:49.027,    0.000,UDP  ,192.168.220.45,   137,192.168.220.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:01:51.116,    0.002,TCP  ,192.168.220.49, 48306,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:51.118,    0.000,TCP  ,192.168.100.11,   445,192.168.220.49, 48306,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:52.753,    0.000,TCP  ,192.168.100.11,   445,192.168.210.49, 35779,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:52.751,    0.003,TCP  ,192.168.210.49, 35779,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:53.843,    0.000,UDP  ,192.168.210.50,   138,192.168.210.255,   138,       1,     262,    1,......,  0,normal,---,---,---
2017-08-02 00:01:53.843,    0.000,UDP  ,192.168.210.46,   137,192.168.210.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:01:59.030,    0.000,TCP  ,192.168.100.11,   445,192.168.220.45, 32829,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:01:59.028,    0.002,TCP  ,192.168.220.45, 32829,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:00.319,    0.000,TCP  ,192.168.100.11,   445,192.168.220.51, 37901,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:00.318,    0.003,TCP  ,192.168.220.51, 37901,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:00.741,    0.004,TCP  ,192.168.210.55, 44870,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:00.742,    0.000,TCP  ,192.168.100.11,   445,192.168.210.55, 44870,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:02.914,    0.003,TCP  ,192.168.220.47, 55101,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:02.915,    0.000,TCP  ,192.168.100.11,   445,192.168.220.47, 55101,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:03.891,    0.002,TCP  ,192.168.220.42, 58001,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:03.892,    0.000,TCP  ,192.168.100.11,   445,192.168.220.42, 58001,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:04.514,    0.000,TCP  ,192.168.100.11,   445,192.168.220.46, 49770,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:04.513,    0.005,TCP  ,192.168.220.46, 49770,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:10.579,    0.000,TCP  ,192.168.100.11,   445,192.168.210.46, 34137,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:10.578,    0.004,TCP  ,192.168.210.46, 34137,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:11.114,    0.000,TCP  ,192.168.100.11,   445,192.168.220.43, 51099,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:11.113,    0.005,TCP  ,192.168.220.43, 51099,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:18.539,    0.003,TCP  ,10001_213,   443,192.168.210.54, 59631,       3,     193,    1,.AP..F,  0,normal,---,---,---
2017-08-02 00:02:18.526,    0.016,TCP  ,192.168.210.54, 59631,10001_213,   443,       4,     247,    1,.APR.F,  0,normal,---,---,---
2017-08-02 00:02:23.464,    0.000,TCP  ,192.168.210.50, 50944,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:02:23.463,    0.000,TCP  ,192.168.100.11,   445,192.168.210.50, 50944,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:29.069,    0.000,UDP  ,192.168.220.43,   138,192.168.220.255,   138,       1,     262,    1,......,  0,normal,---,---,---
2017-08-02 00:02:29.070,    0.000,UDP  ,192.168.220.48,   137,192.168.220.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:02:35.349,    0.000,TCP  ,192.168.100.11,   445,192.168.220.47, 55101,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:35.350,    0.000,TCP  ,192.168.220.47, 55101,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:02:35.870,    0.000,UDP  ,192.168.210.47,   137,192.168.210.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:02:35.869,    0.000,UDP  ,192.168.210.50,   137,192.168.210.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:02:42.717,    0.000,TCP  ,192.168.100.11,   445,192.168.210.47, 53456,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:42.718,    0.000,TCP  ,192.168.210.47, 53456,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:02:45.267,    0.000,UDP  ,192.168.100.14,   137,192.168.100.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:02:46.354,    0.036,TCP  ,10003_235,    80,192.168.210.54, 59634,       6,    3098,    1,.AP.SF,  0,normal,---,---,---
2017-08-02 00:02:46.340,    0.034,TCP  ,192.168.210.54, 59634,10003_235,    80,       5,     643,    1,.AP.SF,  0,normal,---,---,---
2017-08-02 00:02:46.338,    0.000,UDP  ,DNS,    53,192.168.210.54, 50365,       1,     227,    1,......,  0,normal,---,---,---
2017-08-02 00:02:46.341,    0.000,TCP  ,192.168.210.54, 59633,10003_235,    80,       1,      54,    1,.A.R..,  0,normal,---,---,---
2017-08-02 00:02:46.316,    0.000,UDP  ,192.168.210.54, 50365,DNS,    53,       1,      89,    1,......,  0,normal,---,---,---
2017-08-02 00:02:47.819,    0.015,TCP  ,10003_235,    80,192.168.210.54, 59635,       4,     589,    1,.AP.S.,  0,normal,---,---,---
2017-08-02 00:02:47.804,    0.234,TCP  ,192.168.210.54, 59635,10003_235,    80,       5,     557,    1,.AP.S.,  0,normal,---,---,---
2017-08-02 00:02:49.092,    0.000,UDP  ,192.168.220.42,   138,192.168.220.255,   138,       1,     262,    1,......,  0,normal,---,---,---
2017-08-02 00:02:49.091,    0.000,UDP  ,192.168.220.50,   137,192.168.220.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:02:51.153,    0.002,UDP  ,192.168.210.54, 61868,10004_250,  1900,       2,     332,    1,......,  0,normal,---,---,---
2017-08-02 00:02:57.378,    0.000,TCP  ,192.168.210.55, 44870,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:02:57.377,    0.000,TCP  ,192.168.100.11,   445,192.168.210.55, 44870,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:59.510,    0.000,TCP  ,192.168.210.49, 35779,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:02:59.567,    0.000,TCP  ,192.168.210.48, 32969,192.168.100.11,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-08-02 00:02:59.566,    0.000,TCP  ,192.168.100.11,   445,192.168.210.48, 32969,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:02:59.509,    0.000,TCP  ,192.168.100.11,   445,192.168.210.49, 35779,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:09.113,    0.000,UDP  ,192.168.220.49,   137,192.168.220.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:03:09.113,    0.000,UDP  ,192.168.220.51,   137,192.168.220.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:03:09.113,    0.000,UDP  ,192.168.220.44,   137,192.168.220.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:03:13.463,    0.000,TCP  ,192.168.100.11,   445,192.168.220.44, 46342,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:13.461,    0.005,TCP  ,192.168.220.44, 46342,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:16.176,    0.000,TCP  ,192.168.100.11,   445,192.168.210.50, 50944,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:16.175,    0.004,TCP  ,192.168.210.50, 50944,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:20.804,    0.001,TCP  ,192.168.220.48, 57479,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:20.805,    0.000,TCP  ,192.168.100.11,   445,192.168.220.48, 57479,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:22.142,    0.003,TCP  ,192.168.210.56, 39662,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:22.143,    0.000,TCP  ,192.168.100.11,   445,192.168.210.56, 39662,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:26.075,    0.000,TCP  ,192.168.100.11,   445,192.168.210.45, 54780,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:26.074,    0.004,TCP  ,192.168.210.45, 54780,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:25.922,    0.000,UDP  ,192.168.210.56,   137,192.168.210.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:03:25.922,    0.000,UDP  ,192.168.210.49,   137,192.168.210.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-08-02 00:03:26.326,    0.000,TCP  ,192.168.100.11,   445,192.168.220.50, 40784,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:26.325,    0.001,TCP  ,192.168.220.50, 40784,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:34.843,    0.004,TCP  ,192.168.210.47, 53456,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:34.844,    0.000,TCP  ,192.168.100.11,   445,192.168.210.47, 53456,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-08-02 00:03:35.450,    0.003,TCP  ,192.168.210.48, 32969,192.168.100.11,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
