Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Class
Benign,43,13,13.372093,0,302.51163,2170,50.465115,13008,302.51163,0,1145,4671,48,910,1264,107,783,145,443,400,70,111,70,0.03281763,0.05203938,0.03281763,5,6,30,1.25,3,0,3,3,7,5,9,0.06521739,0.0,0.06521739,0.06521739,0.1521739,0.10869565,0.19565217,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,42,16,11.190476,0,280.7381,2067,49.214287,11791,280.7381,0,907,3829,45,1252,928,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2.0,4,0,4,4,8,6,10,0.08695652,0.0,0.08695652,0.08695652,0.17391305,0.13043478,0.2173913,138,392,222,26,24,118,0,124,87,0,8,Benign
Benign,40,12,13.825,0,307.225,2082,52.05,12289,307.225,0,1076,4314,44,887,1210,101,768,140,384,383,76,113,76,0.03657363,0.05437921,0.03657363,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,13,13.27907,0,301.39536,2170,50.465115,12960,301.39536,0,1140,4650,48,910,1249,107,783,145,441,400,70,111,70,0.03281763,0.05203938,0.03281763,5,6,30,1.25,3,0,3,3,7,5,9,0.06521739,0.0,0.06521739,0.06521739,0.1521739,0.10869565,0.19565217,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,42,16,11.261905,0,280.7619,2067,49.214287,11792,280.7619,0,907,3829,45,1252,931,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2.0,4,0,4,4,8,6,10,0.08695652,0.0,0.08695652,0.08695652,0.17391305,0.13043478,0.2173913,138,392,222,26,24,118,0,124,87,0,8,Benign
Benign,40,12,13.6,0,306.425,2082,52.05,12257,306.425,0,1074,4299,44,887,1192,101,768,140,384,383,76,113,76,0.03657363,0.05437921,0.03657363,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,41,12,13.512196,0,305.26828,2105,51.341465,12516,305.26828,0,1133,4452,45,861,1211,103,765,139,417,387,70,109,70,0.03384913,0.05270793,0.03384913,4,5,24,1.3333334,4,0,4,4,8,6,10,0.08888889,0.0,0.08888889,0.08888889,0.17777778,0.13333334,0.22222222,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,42,16,10.452381,0,244.59525,1788,42.57143,10276,263.48718,0,813,3515,42,878,853,97,702,126,284,336,79,117,79,0.04321663,0.06400438,0.04321663,6,23,36,2.0,4,0,7,4,11,6,13,0.08695652,0.0,0.1521739,0.08695652,0.23913044,0.13043478,0.2826087,138,392,222,26,24,118,0,124,87,0,8,Benign
Benign,40,12,13.55,0,306.125,2082,52.05,12245,306.125,0,1074,4299,44,887,1190,101,768,140,384,383,76,113,76,0.03657363,0.05437921,0.03657363,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,41,12,13.414634,0,304.7805,2105,51.341465,12496,304.7805,0,1130,4447,45,861,1204,103,765,139,417,381,70,109,70,0.03384913,0.05270793,0.03384913,4,5,24,1.3333334,4,0,4,4,8,6,10,0.08888889,0.0,0.08888889,0.08888889,0.17777778,0.13333334,0.22222222,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,41,16,11.609756,0,268.2195,1924,46.92683,10997,268.2195,0,848,3675,44,982,929,101,733,132,335,385,87,127,87,0.044050634,0.0643038,0.044050634,9,58,54,1.8,4,0,4,4,8,6,10,0.08888889,0.0,0.08888889,0.08888889,0.17777778,0.13333334,0.22222222,138,392,222,26,24,118,0,124,87,0,8,Benign
Benign,32,11,12.53125,0,283.59375,1513,47.28125,9077,302.56668,0,708,3117,33,751,777,81,666,123,240,324,61,87,61,0.041695148,0.05946685,0.041695148,3,4,18,1.5,5,0,7,5,11,7,13,0.13513513,0.0,0.1891892,0.13513513,0.2972973,0.1891892,0.35135135,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,40,12,13.325,0,305.25,2082,52.05,12210,305.25,0,1073,4288,44,887,1171,101,768,140,384,383,76,113,76,0.03657363,0.05437921,0.03657363,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,42,12,13.666667,0,306.4762,2177,51.833332,12872,306.4762,0,1169,4551,46,878,1256,105,776,142,440,425,79,119,79,0.036761284,0.055374593,0.036761284,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.0952381,0.04761905,0.14285715,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,40,13,13.175,0,293.25,1990,49.75,11730,293.25,0,1057,4196,44,789,1123,100,737,138,394,330,65,101,65,0.03353973,0.052115582,0.03353973,4,5,24,1.3333334,2,0,2,2,6,4,8,0.04761905,0.0,0.04761905,0.04761905,0.14285715,0.0952381,0.1904762,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,17,11.5348835,0,269.97675,2024,47.069767,11609,269.97675,0,878,3919,47,1048,980,105,761,138,372,412,94,136,94,0.045148894,0.0653218,0.045148894,11,60,66,1.8333334,4,0,4,4,8,6,10,0.08510638,0.0,0.08510638,0.08510638,0.17021276,0.12765957,0.21276596,138,392,222,26,24,118,0,124,87,0,8,Benign
Benign,40,12,13.35,0,305.4,2082,52.05,12216,305.4,0,1074,4291,44,887,1175,101,768,140,384,383,76,113,76,0.03657363,0.05437921,0.03657363,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,12,13.488372,0,303.6279,2223,51.697674,13056,303.6279,0,1179,4591,47,888,1273,111,780,145,455,447,80,121,80,0.03642987,0.05510018,0.03642987,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023255,0.046511628,0.13953489,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,44,17,12.022727,0,286.86365,2162,49.136364,12622,286.86365,0,950,4272,48,1188,1061,107,869,145,400,444,101,144,101,0.045352492,0.06466098,0.045352492,14,79,84,2.0,3,0,3,3,7,5,9,0.06382979,0.0,0.06382979,0.06382979,0.14893617,0.10638298,0.19148937,138,392,222,26,24,118,0,124,87,0,8,Benign
Benign,40,12,13.325,0,305.3,2082,52.05,12212,305.3,0,1074,4290,44,887,1172,101,768,140,384,383,76,113,76,0.03657363,0.05437921,0.03657363,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,12,13.4651165,0,303.27908,2223,51.697674,13041,303.27908,0,1180,4588,47,888,1268,111,780,145,455,445,80,121,80,0.03642987,0.05510018,0.03642987,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023255,0.046511628,0.13953489,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,50,22,11.4,0,274.34,2447,48.94,13717,274.34,0,1000,4541,55,1320,1143,120,990,157,441,466,109,158,109,0.04325397,0.06269842,0.04325397,16,81,96,1.7777778,2,0,2,2,6,4,8,0.038461536,0.0,0.038461536,0.038461536,0.115384616,0.07692308,0.15384616,138,393,222,26,25,118,0,127,87,0,8,Benign
Benign,40,12,13.275,0,304.95,2082,52.05,12198,304.95,0,1072,4284,44,887,1166,101,768,140,384,383,76,113,76,0.03657363,0.05437921,0.03657363,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,12,13.488372,0,303.11627,2223,51.697674,13034,303.11627,0,1176,4584,47,888,1273,111,780,145,455,445,80,121,80,0.03642987,0.05510018,0.03642987,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023255,0.046511628,0.13953489,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,47,19,11.468085,0,241.91489,2079,44.234043,11370,241.91489,0,840,3761,51,1011,1025,117,766,148,337,396,77,123,77,0.036150236,0.057746477,0.036150236,12,77,72,1.7142857,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.08510638,0.04255319,0.12765957,138,392,222,26,24,118,0,122,87,0,8,Benign
Benign,38,13,14.684211,0,290.39474,1875,49.342106,11035,290.39474,0,1027,3789,42,738,1171,96,635,131,355,326,51,87,51,0.026898734,0.045886077,0.026898734,4,5,24,1.3333334,2,0,2,2,6,4,7,0.05,0.0,0.05,0.05,0.15,0.1,0.175,137,395,222,26,27,118,0,120,88,0,8,Benign
Benign,32,13,13.09375,0,264.375,1452,45.375,8460,264.375,0,636,2971,36,658,766,83,571,127,186,242,32,63,32,0.022068966,0.043448277,0.022068966,2,2,12,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.125,0.0625,0.15625,138,395,222,26,27,118,0,119,88,0,8,Benign
Benign,50,22,11.2,0,274.08,2448,48.96,13704,274.08,0,1000,4545,55,1321,1133,120,993,158,441,466,109,158,109,0.04323681,0.06267354,0.04323681,16,81,96,1.7777778,1,0,1,1,5,3,7,0.019607844,0.0,0.019607844,0.019607844,0.09803922,0.05882353,0.13725491,138,393,222,26,25,118,0,127,87,0,8,Benign
Benign,40,12,13.225,0,304.975,2082,52.05,12199,304.975,0,1072,4283,44,887,1164,101,768,140,384,383,76,113,76,0.03657363,0.05437921,0.03657363,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,12,13.488372,0,302.25583,2223,51.697674,12997,302.25583,0,1173,4565,47,888,1272,111,776,145,455,445,80,121,80,0.03642987,0.05510018,0.03642987,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023255,0.046511628,0.13953489,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,50,22,11.08,0,273.42,2448,48.96,13671,273.42,0,996,4537,55,1320,1125,120,993,158,441,466,109,158,109,0.04323681,0.06267354,0.04323681,16,81,96,1.7777778,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.08,0.04,0.12,138,393,222,26,25,118,0,127,87,0,8,Benign
Benign,40,12,13.325,0,305.475,2082,52.05,12219,305.475,0,1075,4287,44,887,1167,101,768,140,384,383,76,113,76,0.03657363,0.05437921,0.03657363,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,12,13.44186,0,301.02325,2223,51.697674,12944,301.02325,0,1153,4572,47,888,1272,111,776,145,440,424,80,121,80,0.03642987,0.05510018,0.03642987,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023255,0.046511628,0.13953489,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,50,22,11.04,0,272.32,2448,48.96,13616,272.32,0,987,4520,55,1320,1119,120,993,157,441,466,109,158,109,0.04323681,0.06267354,0.04323681,16,81,96,1.7777778,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.08,0.04,0.12,138,393,222,26,25,118,0,127,87,0,8,Benign
Benign,40,12,13.375,0,305.275,2082,52.05,12211,305.275,0,1074,4286,44,887,1168,101,768,140,384,383,76,113,76,0.03657363,0.05437921,0.03657363,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,12,13.27907,0,300.30234,2223,51.697674,12913,300.30234,0,1152,4565,47,888,1260,111,776,145,440,424,80,121,80,0.03642987,0.05510018,0.03642987,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023255,0.046511628,0.13953489,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,52,25,10.461538,0,253.1923,2466,47.423077,13166,253.1923,0,941,4367,57,1238,1082,122,959,157,416,448,105,155,105,0.042219542,0.062324084,0.042219542,13,62,78,1.625,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.07692308,0.038461536,0.115384616,138,393,222,26,25,118,0,127,87,0,8,Benign
Benign,40,12,13.35,0,304.75,2081,52.025,12190,304.75,0,1073,4280,44,887,1165,101,763,140,384,383,76,113,76,0.036591236,0.05440539,0.036591236,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,12,13.116279,0,299.6744,2223,51.697674,12886,299.6744,0,1152,4555,47,888,1239,111,776,145,440,424,80,121,80,0.03642987,0.05510018,0.03642987,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023255,0.046511628,0.13953489,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,50,24,10.48,0,254.9,2403,48.06,12745,254.9,0,922,4189,54,1186,1040,118,947,151,400,438,104,153,104,0.042362526,0.062321793,0.042362526,12,61,72,1.7142857,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.08,0.04,0.12,138,395,222,26,27,118,0,127,87,0,8,Benign
Benign,40,12,13.35,0,304.9,2081,52.025,12196,304.9,0,1074,4283,44,887,1163,101,763,140,384,383,76,113,76,0.036591236,0.05440539,0.036591236,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,12,13.232558,0,299.72092,2223,51.697674,12888,299.72092,0,1152,4554,47,888,1246,111,776,145,440,424,80,121,80,0.03642987,0.05510018,0.03642987,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023255,0.046511628,0.13953489,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,56,21,12.285714,0,269.26785,2633,47.017857,15079,269.26785,0,1200,5236,61,1196,1491,130,893,161,541,510,107,161,107,0.04,0.060186915,0.04,12,61,72,1.7142857,0,0,0,0,4,2,7,0.0,0.0,0.0,0.0,0.071428575,0.035714287,0.125,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,40,12,13.3,0,304.825,2081,52.025,12193,304.825,0,1074,4283,44,887,1162,101,763,140,384,383,76,113,76,0.036591236,0.05440539,0.036591236,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,12,13.16279,0,299.46512,2223,51.697674,12877,299.46512,0,1152,4551,47,888,1240,111,776,145,440,424,80,121,80,0.03642987,0.05510018,0.03642987,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023255,0.046511628,0.13953489,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,55,20,12.654546,0,280.83636,2623,47.69091,15446,280.83636,0,1220,5336,61,1202,1501,128,899,156,561,510,107,160,107,0.040150095,0.060037524,0.040150095,12,61,72,1.7142857,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.07272727,0.036363635,0.10909091,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,32,11,12.8125,0,285.375,1513,47.28125,9134,304.46667,0,712,3145,33,752,793,81,666,123,243,325,60,86,60,0.04103967,0.05882353,0.04103967,3,4,18,1.5,6,0,8,6,12,8,14,0.15789473,0.0,0.21052632,0.15789473,0.31578946,0.21052632,0.36842105,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,40,12,13.25,0,304.875,2081,52.025,12195,304.875,0,1074,4284,44,887,1161,101,763,140,384,383,76,113,76,0.036591236,0.05440539,0.036591236,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,43,12,13.093023,0,299.34885,2223,51.697674,12872,299.34885,0,1152,4543,47,888,1237,111,776,145,440,424,80,121,80,0.03642987,0.05510018,0.03642987,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023255,0.046511628,0.13953489,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,40,12,13.65,0,300.8,2006,50.15,12032,300.8,0,1085,4314,44,824,1168,100,740,138,417,367,70,106,70,0.035732515,0.054109238,0.035732515,4,5,24,1.3333334,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,57,20,12.245614,0,271.49124,2623,47.69091,15475,271.49124,0,1229,5337,61,1202,1504,128,899,156,565,510,109,162,109,0.04086989,0.060742408,0.04086989,12,61,72,1.7142857,0,0,0,0,4,2,8,0.0,0.0,0.0,0.0,0.07017544,0.03508772,0.14035088,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,40,12,13.15,0,304.5,2081,52.025,12180,304.5,0,1075,4281,44,887,1152,101,763,140,384,383,76,113,76,0.036591236,0.05440539,0.036591236,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,42,12,13.238095,0,302.5,2177,51.833332,12705,302.5,0,1142,4508,46,877,1222,105,772,142,425,403,79,119,79,0.036761284,0.055374593,0.036761284,5,6,30,1.25,1,0,1,1,5,3,7,0.023255814,0.0,0.023255814,0.023255814,0.11627907,0.069767445,0.1627907,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,56,21,11.357142,0,263.55356,2508,44.785713,14763,283.90384,0,1160,5002,58,1233,1332,122,909,155,529,499,105,155,105,0.041273586,0.060927674,0.041273586,12,61,72,1.7142857,1,0,5,1,9,3,11,0.01754386,0.0,0.0877193,0.01754386,0.15789473,0.05263158,0.19298245,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,40,12,13.325,0,305.7,2081,52.025,12228,305.7,0,1081,4308,44,887,1172,101,763,140,381,383,76,113,76,0.036591236,0.05440539,0.036591236,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,42,12,13.214286,0,302.5,2177,51.833332,12705,302.5,0,1142,4510,46,877,1221,105,772,142,425,405,79,119,79,0.036761284,0.055374593,0.036761284,5,6,30,1.25,1,0,1,1,5,3,7,0.023255814,0.0,0.023255814,0.023255814,0.11627907,0.069767445,0.1627907,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,60,21,10.85,0,257.96667,2656,44.266666,15482,276.4643,0,1254,5355,62,1243,1384,129,919,156,567,513,109,163,109,0.040430266,0.06045994,0.040430266,12,61,72,1.7142857,0,0,4,0,8,2,11,0.0,0.0,0.06666667,0.0,0.13333334,0.03333333,0.18333334,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,40,12,13.575,0,308.475,2081,52.025,12339,308.475,0,1092,4356,44,887,1199,101,763,140,393,385,76,113,76,0.036591236,0.05440539,0.036591236,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,42,12,13.095238,0,302.11905,2177,51.833332,12689,302.11905,0,1142,4504,46,877,1213,105,772,142,425,403,79,119,79,0.036761284,0.055374593,0.036761284,5,6,30,1.25,1,0,1,1,5,3,7,0.023255814,0.0,0.023255814,0.023255814,0.11627907,0.069767445,0.1627907,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,47,19,11.446809,0,243.2766,2090,44.468086,11434,243.2766,0,845,3801,51,1015,1027,117,770,148,337,398,78,124,78,0.036499765,0.05802527,0.036499765,12,77,72,1.7142857,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.08510638,0.04255319,0.12765957,138,392,222,26,24,118,0,122,87,0,8,Benign
Benign,38,13,15.263158,0,293.39474,1880,49.473682,11149,293.39474,0,1018,3857,42,763,1197,96,635,131,366,319,52,89,52,0.027440634,0.0469657,0.027440634,4,5,24,1.3333334,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.10526316,0.05263158,0.13157895,137,395,222,26,27,118,0,120,88,0,8,Benign
Benign,39,14,12.820513,0,258.46155,1808,46.358974,10080,258.46155,0,799,3538,44,744,994,97,612,139,262,276,40,78,40,0.022099448,0.043093923,0.022099448,3,3,18,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.102564104,0.051282052,0.12820512,138,395,222,26,27,118,0,120,88,0,8,Benign
Benign,60,21,10.5,0,256.15,2683,44.716667,15373,274.51785,0,1225,5356,62,1243,1346,130,929,157,542,480,110,164,110,0.04038179,0.06020558,0.04038179,12,61,72,1.7142857,1,0,5,1,9,3,13,0.016393444,0.0,0.08196721,0.016393444,0.14754099,0.04918033,0.21311475,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,41,12,14.097561,0,312.2195,2148,52.390244,12801,312.2195,0,1132,4476,45,931,1266,103,778,143,426,433,87,125,87,0.04037123,0.05800464,0.04037123,6,7,36,1.2,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.09756098,0.04878049,0.14634146,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,44,13,12.75,0,296.36365,2232,50.727272,13040,296.36365,0,1146,4678,49,921,1234,109,782,148,442,408,79,121,79,0.03584392,0.05490018,0.03584392,6,7,36,1.2,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.09090909,0.045454547,0.13636364,138,395,222,26,27,118,0,123,88,0,8,Benign
